Dataset,Classifier,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_mean,acc_stddev,train_time,test_time
diabetes,DecisionTree,0.7272727272727273,0.7337662337662337,0.7077922077922078,0.7124183006535948,0.6209150326797386,0.7004329004329005,0.040871476438150145,0.020543813705444336,0.005750179290771484
diabetes,SVM,0.7597402597402597,0.8051948051948052,0.7532467532467533,0.7320261437908496,0.7516339869281046,0.7603683897801545,0.024249092659676556,0.04781007766723633,0.024053573608398438
diabetes,KNN,0.7142857142857143,0.7532467532467533,0.6623376623376623,0.6928104575163399,0.6666666666666666,0.6978694508106273,0.03345998946550765,0.006603240966796875,0.010405540466308594
diabetes,LogisticRegression,0.7792207792207793,0.7792207792207793,0.7857142857142857,0.7647058823529411,0.7450980392156863,0.7707919531448943,0.014573837504465122,0.08983898162841797,0.006996870040893555
diabetes,Perceptron,0.6168831168831169,0.6298701298701299,0.6233766233766234,0.35294117647058826,0.6535947712418301,0.5753331635684577,0.11188559201714822,0.012231111526489258,0.007863283157348633
diabetes,MLP,0.5714285714285714,0.6688311688311688,0.6818181818181818,0.6535947712418301,0.7189542483660131,0.658925388337153,0.04880528037963911,0.4520888328552246,0.007651090621948242
blood-transfusion-service-center,DecisionTree,0.68,0.74,0.74,0.7114093959731543,0.6778523489932886,0.7098523489932886,0.027332577112886874,0.011910200119018555,0.005836009979248047
blood-transfusion-service-center,SVM,0.7666666666666667,0.7533333333333333,0.7533333333333333,0.7718120805369127,0.7516778523489933,0.7593646532438478,0.0082474043670265,0.05113863945007324,0.021184206008911133
blood-transfusion-service-center,KNN,0.7133333333333334,0.7933333333333333,0.76,0.8120805369127517,0.7315436241610739,0.7620581655480984,0.03685066162982342,0.006584644317626953,0.010190486907958984
blood-transfusion-service-center,LogisticRegression,0.8,0.76,0.7733333333333333,0.785234899328859,0.7449664429530202,0.7727069351230426,0.019148131805970893,0.09522724151611328,0.011656999588012695
blood-transfusion-service-center,Perceptron,0.7733333333333333,0.76,0.36,0.5234899328859061,0.7651006711409396,0.6363847874720358,0.16717488006785602,0.011911153793334961,0.006872892379760742
blood-transfusion-service-center,MLP,0.5933333333333334,0.6133333333333333,0.7066666666666667,0.7919463087248322,0.6644295302013423,0.6739418344519015,0.0710740112621937,0.3026096820831299,0.008253097534179688
monks-problems-2,DecisionTree,1.0,1.0,1.0,1.0,0.9583333333333334,0.9916666666666666,0.016666666666666653,0.00878596305847168,0.0052530765533447266
monks-problems-2,SVM,0.6776859504132231,0.6916666666666667,0.6583333333333333,0.6666666666666666,0.6916666666666667,0.6772038567493113,0.013309449158719129,0.03626751899719238,0.020323991775512695
monks-problems-2,KNN,0.6446280991735537,0.575,0.5583333333333333,0.5833333333333334,0.65,0.602258953168044,0.03769626447715039,0.0058307647705078125,0.009972095489501953
monks-problems-2,LogisticRegression,0.6363636363636364,0.65,0.65,0.6083333333333333,0.6583333333333333,0.6406060606060606,0.017608381425296693,0.022313833236694336,0.006340980529785156
monks-problems-2,Perceptron,0.6528925619834711,0.4583333333333333,0.6583333333333333,0.5916666666666667,0.6583333333333333,0.6039118457300275,0.07702669001397126,0.008581876754760742,0.00521397590637207
monks-problems-2,MLP,0.7355371900826446,0.7666666666666667,0.725,0.7583333333333333,0.7666666666666667,0.7504407713498622,0.01707747916872546,4.834052562713623,0.009364843368530273
tic-tac-toe,DecisionTree,0.875,0.9270833333333334,0.8333333333333334,0.9057591623036649,0.8638743455497382,0.8810100349040141,0.03267441928192366,0.012713193893432617,0.005461931228637695
tic-tac-toe,SVM,0.8958333333333334,0.9114583333333334,0.8489583333333334,0.9162303664921466,0.8795811518324608,0.8904123036649214,0.024391149222166734,0.08443999290466309,0.03579449653625488
tic-tac-toe,KNN,0.8385416666666666,0.875,0.828125,0.8272251308900523,0.8324607329842932,0.8402705061082024,0.01782029360728187,0.007683277130126953,0.015355825424194336
tic-tac-toe,LogisticRegression,0.6770833333333334,0.7083333333333334,0.6614583333333334,0.6282722513089005,0.6910994764397905,0.6732493455497383,0.02729901027272899,0.02450871467590332,0.00777435302734375
tic-tac-toe,Perceptron,0.625,0.6666666666666666,0.5625,0.6492146596858639,0.6020942408376964,0.6210951134380454,0.036543519158138284,0.012270212173461914,0.006829738616943359
tic-tac-toe,MLP,0.9375,0.9375,0.890625,0.93717277486911,0.8952879581151832,0.9196171465968586,0.02181855610337489,7.750525712966919,0.009214162826538086
titanic,DecisionTree,0.7845804988662132,0.7954545454545454,0.7954545454545454,0.7931818181818182,0.7840909090909091,0.7905524634096063,0.005145684949349349,0.012428998947143555,0.007035493850708008
titanic,SVM,0.7709750566893424,0.7863636363636364,0.7863636363636364,0.7772727272727272,0.7795454545454545,0.7801041022469594,0.0058314968748656194,0.21119332313537598,0.12253451347351074
titanic,KNN,0.7845804988662132,0.7931818181818182,0.8,0.7863636363636364,0.5613636363636364,0.7450979179550608,0.09202860426735199,0.011383056640625,0.0238497257232666
titanic,LogisticRegression,0.7664399092970522,0.775,0.7818181818181819,0.7681818181818182,0.7886363636363637,0.7760152545866832,0.00833123116110098,0.01654505729675293,0.006207942962646484
titanic,Perceptron,0.7664399092970522,0.7727272727272727,0.5545454545454546,0.5568181818181818,0.7909090909090909,0.6882879818594104,0.108572723611667,0.013216257095336914,0.006155252456665039
titanic,MLP,0.7709750566893424,0.7840909090909091,0.7954545454545454,0.7863636363636364,0.7795454545454545,0.7832859204287775,0.008046666740642743,2.514753580093384,0.010348081588745117
pc1,DecisionTree,0.918918918918919,0.9054054054054054,0.8963963963963963,0.9279279279279279,0.9004524886877828,0.9098202274672863,0.011816255129297161,0.04159235954284668,0.006175041198730469
pc1,SVM,0.9324324324324325,0.9324324324324325,0.9279279279279279,0.9279279279279279,0.9321266968325792,0.9305694835106599,0.002159708429096638,0.0539860725402832,0.018203020095825195
pc1,KNN,0.9144144144144144,0.9414414414414415,0.9324324324324325,0.9099099099099099,0.9366515837104072,0.9269699563817211,0.01250346553466697,0.007822990417480469,0.08242487907409668
pc1,LogisticRegression,0.9414414414414415,0.9324324324324325,0.9234234234234234,0.9234234234234234,0.9230769230769231,0.9287595287595287,0.007260319253615417,0.934546947479248,0.01113581657409668
pc1,Perceptron,0.9324324324324325,0.9324324324324325,0.9279279279279279,0.0990990990990991,0.14479638009049775,0.6073376543964779,0.3965859837217724,0.016493558883666992,0.008626461029052734
pc1,MLP,0.9324324324324325,0.9324324324324325,0.9279279279279279,0.9279279279279279,0.9321266968325792,0.9305694835106599,0.002159708429096638,0.3888528347015381,0.008569955825805664
kr-vs-kp,DecisionTree,0.9953125,1.0,0.9953051643192489,0.9937402190923318,0.9937402190923318,0.9956196205007825,0.002299792580101239,0.03494977951049805,0.008478164672851562
kr-vs-kp,SVM,0.971875,0.974960876369327,0.9796557120500783,0.9640062597809077,0.974960876369327,0.973091744913928,0.0051787928641236014,0.43654942512512207,0.23579668998718262
kr-vs-kp,KNN,0.953125,0.9640062597809077,0.971830985915493,0.9530516431924883,0.94679186228482,0.9577611502347418,0.008955001876441823,0.02369523048400879,0.176802396774292
kr-vs-kp,LogisticRegression,0.959375,0.9608763693270735,0.9593114241001565,0.9577464788732394,0.9655712050078247,0.9605760954616589,0.0026866349871364544,0.10241270065307617,0.016093015670776367
kr-vs-kp,Perceptron,0.9578125,0.9608763693270735,0.9514866979655712,0.9248826291079812,0.9061032863849765,0.9402322965571205,0.021271128182661855,0.04198575019836426,0.012588262557983398
kr-vs-kp,MLP,0.99375,0.9984350547730829,0.9906103286384976,0.9921752738654147,0.9937402190923318,0.9937421752738654,0.002618657152757136,6.597776651382446,0.0172119140625
phoneme,DecisionTree,0.8667900092506938,0.8658649398704903,0.8649398704902868,0.883441258094357,0.8796296296296297,0.8721331414670914,0.0077929891172796575,0.14528894424438477,0.011159181594848633
phoneme,SVM,0.8418131359851989,0.84736355226642,0.8279370952821462,0.8501387604070305,0.8537037037037037,0.8441912495288999,0.009008619528381669,1.2998061180114746,0.6408259868621826
phoneme,KNN,0.877890841813136,0.8714153561517114,0.8621646623496763,0.8862164662349676,0.887962962962963,0.8771300579024908,0.009561530429224882,0.024163484573364258,0.040238142013549805
phoneme,LogisticRegression,0.7382053654024052,0.7567067530064755,0.7493061979648473,0.7502312673450509,0.7685185185185185,0.7525936204474595,0.009939114447704378,0.029369831085205078,0.009818553924560547
phoneme,Perceptron,0.6873265494912119,0.7567067530064755,0.7641073080481036,0.7678075855689177,0.65,0.7251896392229418,0.04777300109745427,0.022180795669555664,0.0073032379150390625
phoneme,MLP,0.84736355226642,0.8603145235892692,0.8547641073080481,0.8677150786308974,0.8675925925925926,0.8595499708774454,0.007789102364144737,19.76780104637146,0.011474370956420898
wdbc,DecisionTree,0.9298245614035088,0.868421052631579,0.8859649122807017,0.9385964912280702,0.9292035398230089,0.9104021114733737,0.027875560352709206,0.03875398635864258,0.0054132938385009766
wdbc,SVM,0.9385964912280702,0.8771929824561403,0.8947368421052632,0.9385964912280702,0.9203539823008849,0.9138953578636858,0.0243972084272489,0.026011228561401367,0.013046741485595703
wdbc,KNN,0.9298245614035088,0.9035087719298246,0.9298245614035088,0.956140350877193,0.9557522123893806,0.9350100916006833,0.01961038510464635,0.005382061004638672,0.011846780776977539
wdbc,LogisticRegression,0.956140350877193,0.9210526315789473,0.9473684210526315,0.9736842105263158,0.9646017699115044,0.9525694767893185,0.018020664322408134,0.914574384689331,0.011014223098754883
wdbc,Perceptron,0.7807017543859649,0.7982456140350878,0.8859649122807017,0.9736842105263158,0.9646017699115044,0.880639652227915,0.08063702175090094,0.012141942977905273,0.006247997283935547
wdbc,MLP,0.9210526315789473,0.9122807017543859,0.9035087719298246,0.9473684210526315,0.9557522123893806,0.9279925477410339,0.020201501263986517,1.0307822227478027,0.007264375686645508
semeion,DecisionTree,0.7398119122257053,0.7586206896551724,0.7554858934169278,0.7295597484276729,0.6981132075471698,0.7363182902545297,0.021827989631645093,0.16778016090393066,0.010165214538574219
semeion,SVM,0.9623824451410659,0.9498432601880877,0.9529780564263323,0.9465408805031447,0.9559748427672956,0.9535438970051853,0.00542377283796414,0.9038622379302979,0.3027224540710449
semeion,KNN,0.9247648902821317,0.9090909090909091,0.9090909090909091,0.8836477987421384,0.9245283018867925,0.9102245618185762,0.01499941868475029,0.018726110458374023,0.03229069709777832
semeion,LogisticRegression,0.9122257053291536,0.9310344827586207,0.9216300940438872,0.9213836477987422,0.9088050314465409,0.9190157922753889,0.007839070759845778,0.5751392841339111,0.013274669647216797
