V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,class
9561.0,1585.0,10000.0,817.0,-53.0,10000.0,-177.0,-723.0,208.0,-46.0,5726.0,-284.0,-5673.0,0,1233.0,9716.0,7869.0,161.0,-1686.0,-99.0,436.0,10000.0,403.0,108.0,51.0,21.0,0,4404.0,7330.0,-136.0,-176.0,10000.0,0,358.0,0,439.0,0,8235.0,198.0,-146.0,4453.0,-186.0,-695.0,-979.0,248.0,2276.0,10000.0,-2164.0,34.0,-1934.0,6254.0,-210.0,9,0,5578.0,3393.0,2514.0,-60.0,-51.0,-84.0,283
8974.0,397.0,10000.0,316.0,546.0,10000.0,-121.0,-3.0,-165.0,95.0,4251.0,-237.0,-5120.0,0,334.0,10000.0,4996.0,29.0,-384.0,31.0,9.0,8213.0,242.0,37.0,25.0,178.0,0,3372.0,9620.0,-100.0,7.0,9937.0,0,1224.0,0,1026.0,0,8590.0,781.0,-72.0,1567.0,248.0,-368.0,-1242.0,-80.0,1635.0,10000.0,-1845.0,262.0,-463.0,5347.0,492.0,9,0,6303.0,932.0,1689.0,-762.0,-43.0,-67.0,112
9322.0,2183.0,10000.0,-438.0,232.0,10000.0,-193.0,1511.0,12.0,171.0,7518.0,367.0,-9044.0,0,1706.0,10000.0,8430.0,-274.0,-3441.0,-100.0,1.0,9943.0,-416.0,-149.0,-196.0,-161.0,0,1719.0,7033.0,360.0,280.0,8523.0,0,3544.0,0,678.0,0,4266.0,-46.0,817.0,6337.0,881.0,14.0,-77.0,-4.0,-1995.0,10000.0,-1845.0,330.0,3391.0,8172.0,1717.0,9,0,6778.0,-1805.0,-3544.0,313.0,-691.0,168.0,162
9296.0,-408.0,10000.0,-2295.0,9.0,10000.0,-58.0,-3464.0,417.0,-160.0,8994.0,-245.0,-6231.0,0,-876.0,7496.0,10000.0,-208.0,-1663.0,-617.0,74.0,10000.0,620.0,175.0,70.0,-263.0,0,3608.0,8792.0,60.0,756.0,7717.0,0,-483.0,0,704.0,0,7821.0,1941.0,-650.0,1572.0,539.0,-788.0,-1536.0,-111.0,2399.0,10000.0,-1696.0,430.0,-730.0,7565.0,780.0,7,0,9996.0,4374.0,5277.0,777.0,273.0,166.0,252
7757.0,-2317.0,10000.0,-118.0,567.0,10000.0,24.0,262.0,489.0,145.0,5234.0,-252.0,3527.0,0,80.0,6980.0,5802.0,-453.0,2209.0,603.0,90.0,6483.0,16853.0,29.0,51.0,-236.0,0,-688.0,10000.0,-983.0,-598.0,10000.0,0,1598.0,0,2243.0,0,9357.0,-631.0,-236.0,67.0,176.0,-1236.0,-163.0,85.0,-112.0,6124.0,1362.0,59.0,-1036.0,10000.0,403.0,9,0,10000.0,-134.0,82.0,-57.0,81.0,109.0,54
8687.0,-1595.0,10000.0,-118.0,256.0,10000.0,0.0,-342.0,439.0,-43.0,6374.0,113.0,-7009.0,0,-195.0,9599.0,7851.0,-25.0,1171.0,96.0,-2.0,9312.0,-678.0,-9.0,27.0,238.0,0,2718.0,10000.0,18.0,471.0,10000.0,0,-149.0,0,1313.0,0,7133.0,629.0,275.0,1751.0,-138.0,356.0,-453.0,-29.0,575.0,10000.0,-2150.0,19.0,35.0,7580.0,-37.0,7,0,8558.0,-758.0,1434.0,-223.0,34.0,222.0,91
5256.0,-2560.0,10000.0,392.0,598.0,10000.0,8.0,226.0,984.0,195.0,3641.0,-990.0,1181.0,0,-130.0,6754.0,5802.0,-1238.0,979.0,-423.0,466.0,9430.0,25237.0,337.0,133.0,-407.0,0,-619.0,9265.0,-1416.0,-309.0,10000.0,0,187.0,0,4744.0,0,9930.0,122.0,-225.0,163.0,414.0,-1762.0,-161.0,66.0,22.0,6274.0,1989.0,-228.0,-443.0,10000.0,929.0,9,0,6549.0,-238.0,-96.0,79.0,-6.0,-13.0,241
8868.0,-552.0,10000.0,-220.0,-334.0,10000.0,87.0,-4049.0,-342.0,-135.0,4111.0,-449.0,-4669.0,0,-5637.0,10000.0,5841.0,4476.0,-328.0,-288.0,312.0,9069.0,3316.0,2180.0,52.0,283.0,0,3084.0,9392.0,4022.0,337.0,7655.0,0,1280.0,0,1132.0,0,8843.0,1833.0,-578.0,122.0,-2589.0,-314.0,-1744.0,102.0,490.0,10000.0,-2391.0,255.0,1984.0,5744.0,348.0,10,0,6510.0,471.0,54.0,246.0,-378.0,89.0,163
9687.0,1196.0,10000.0,-4557.0,-257.0,10000.0,159.0,-2908.0,430.0,190.0,5648.0,1180.0,-7004.0,0,170.0,9640.0,9381.0,-3020.0,-1699.0,307.0,-125.0,10000.0,-3263.0,5977.0,249.0,93.0,0,5058.0,5741.0,7818.0,273.0,9550.0,0,-566.0,0,313.0,0,7138.0,-53.0,516.0,440.0,717.0,-195.0,-360.0,-238.0,-1169.0,10000.0,-3244.0,225.0,4721.0,7489.0,-314.0,8,0,9668.0,45.0,-570.0,656.0,72.0,149.0,126
7040.0,70.0,10000.0,-17255.0,-704.0,10000.0,-1084.0,-43230.0,642.0,119.0,7096.0,-13383.0,-592.0,0,-55899.0,7184.0,3288.0,1030.0,859.0,-273.0,137.0,6073.0,-4574.0,-915.0,253.0,-54.0,0,1861.0,8668.0,10666.0,703.0,6497.0,0,1786.0,0,2960.0,0,9982.0,117.0,-18901.0,-30396.0,11857.0,7555.0,-1594.0,78.0,172174.0,10000.0,-23053.0,50.0,59971.0,9028.0,-2.0,11,0,5889.0,181840.0,-47648.0,608.0,-12168.0,42.0,26
