V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,Class
0.45211,-0.31925,-0.98411,-0.13769,-0.33954,1.1749,-0.1568,-0.55397,-0.28429,-0.7775,-0.79958,-0.37283,-0.30653,-3.4736,-0.16284,-1.4041,-0.040878,5.307,4.0034,9.3294,4.0886,0.020912,-0.022059,-0.4775,-0.4805,2.5928,2.8029,0.10459,1.0303,-0.44033,4.6948,-3.4736,-0.092482,-0.22559,-0.42105,-0.35232,-0.049982,1.5377,-0.048832,6.5201,-0.22282,28.545,-0.11229,-0.57834,-2.4037,-0.54541,-0.55678,-0.4899,1.9107,-0.46486,-1.7821,6
-0.81225,-0.83196,-0.50501,-0.75295,-0.90213,-0.31074,0.92518,0.39943,0.39425,-0.36924,-0.674,-0.26728,-0.14946,0.5526,-0.16784,0.69752,-0.15922,-1.1126,-0.69626,-0.28811,-0.070088,-0.86058,-0.04105,-0.4775,-0.47313,-0.6184,-0.4927,-0.11823,-0.18731,-0.045005,-0.67335,0.5526,0.050869,-0.22559,-0.020493,-0.09507,-0.40052,-0.61062,-0.36328,-0.26431,-0.39991,-0.16374,0.026975,-0.57834,-0.058829,-0.47263,-0.55678,-0.4899,-0.78459,0.17317,0.73721,3
0.62514,0.83152,-0.15694,0.58369,0.36196,0.032973,-0.33536,-0.41777,-0.23699,-0.64141,-0.6322,-0.35436,-0.27017,0.25437,-0.10938,-0.47098,-0.081087,0.58673,-0.2304,-0.28811,-0.32629,1.4901,0.87592,0.96512,0.19161,0.18967,0.24043,-0.10486,-0.14172,-0.3415,-0.10496,0.25437,-0.092482,0.5974,-0.42105,-0.35232,0.061217,0.21441,0.059837,-0.26431,0.066676,-0.16374,-0.11229,-0.53486,0.99018,-0.42896,-0.51262,-0.4348,-0.74034,-0.46486,0.88763,1
-0.80783,-0.9033,-0.5539,-0.76689,-0.87888,-0.30215,0.90111,0.39943,0.40448,-0.36924,-0.68179,-0.26728,-0.15007,0.75143,-0.1682,0.71243,-0.1592,-0.82935,-0.6045,-0.28811,-0.11177,-0.86058,-0.028633,-0.4775,-0.47887,-0.5222,-0.43662,-0.11823,-0.19594,-0.44033,-0.67335,0.75143,-0.020807,-0.22559,0.78062,0.54805,-0.39735,-0.60591,-0.35981,-0.26431,-0.39991,-0.16374,-0.04266,-0.46964,0.002878,-0.36346,-0.47398,-0.38659,-0.70162,0.26432,0.62579,2
0.97122,0.83152,-0.57052,0.9959,0.76282,0.032973,-0.69248,-0.55397,-0.47347,0.039015,1.4722,-0.3438,-0.16783,-0.93859,-0.19478,0.38728,-0.132,0.58673,0.4817,-1.3567,-0.30768,0.29638,0.003719,-0.29717,0.1141,0.33638,0.11553,-0.096781,-0.18849,-0.44033,1.4739,-0.93859,-0.092482,-0.22559,-0.42105,-0.35232,-0.20036,-0.32996,-0.15288,-0.26431,-0.19525,-0.16374,-0.11229,0.20676,0.99018,-0.50498,0.2099,0.46669,-0.01628,-0.36359,0.12751,6
0.13314,0.055095,0.13705,0.23107,0.23639,-0.18716,-0.13743,0.26323,0.10548,-0.50533,-0.48855,-0.22242,-0.1811,0.45319,-0.17379,0.26,-0.15653,0.58673,0.53067,0.068086,0.3464,0.020912,-0.039425,-0.11684,-0.1995,0.18967,0.31442,-0.11263,0.002652,-0.14384,-0.48389,0.45319,0.12254,-0.22559,2.5831,1.577,-0.19295,0.11646,-0.17022,0.058755,-0.22282,1.2034,0.58405,-0.4186,-1.2378,-0.54541,-0.41773,-0.3164,-0.29686,0.14743,0.2539,6
1.2308,0.83152,-0.053546,0.7898,0.56239,1.1749,-0.96032,-0.55397,-0.49712,-0.09707,1.4974,-0.33852,-0.1005,-2.4298,-0.11236,-0.15237,-0.10857,0.58673,1.9934,0.78048,0.85803,0.020912,-0.93774,-0.4775,-0.84976,0.25871,0.21505,-0.11456,-0.18371,-0.3415,3.3054,-2.4298,-0.092482,0.18591,-0.42105,-0.35232,-0.18554,-0.12088,-0.16444,0.81258,-0.1804,-0.16374,-0.11229,-0.50361,0.99018,-0.54541,-0.48088,-0.3952,-0.70853,-0.46486,0.85559,6
-0.17547,-0.13032,-0.50262,0.005353,-0.074796,-0.3079,0.187,0.39943,0.21127,-0.36924,-0.67624,-0.26728,-0.20638,0.65202,-0.19082,0.32277,-0.15867,-1.3958,-1.3457,-0.28811,-0.10212,-0.86058,0.24163,-0.4775,-0.51952,-0.63764,-0.79668,-0.11823,-0.20783,-0.44033,-0.54705,0.65202,-0.092482,-0.22559,-0.020493,-0.09507,-0.36028,-0.52963,-0.31357,-0.26431,-0.35749,-0.16374,-0.11229,-0.53901,-0.72908,-0.045034,-0.51684,-0.44006,-0.16408,0.062836,0.14603,1
-0.51839,0.43125,-0.4986,-0.39309,-0.48333,-0.64226,0.68166,-0.28157,-0.20409,2.3525,0.98371,1.3608,0.25535,0.75143,-0.1792,0.23588,-0.1575,0.58673,0.11545,-0.28811,-0.25044,-1.4776,-1.1498,-0.4775,-0.53963,-0.91991,-0.82067,-0.11823,-0.28029,-0.44033,-0.67335,0.75143,0.050869,-0.22559,-0.42105,-0.35232,-0.26814,-0.31489,-0.22455,-0.26431,-0.26524,-0.16374,0.026975,-0.41626,0.35639,-0.15958,-0.41047,-0.35298,-0.38137,-0.22327,0.45229,6
-0.83039,-3.23,2.3002,-0.73783,2.2601,-0.63875,-1.7638,0.53563,-0.20917,-0.64141,-0.77093,-0.25408,-0.28728,0.10525,0.005984,-0.29112,-0.14371,-1.2156,0.14798,-2.3282,-0.33865,0.75548,-0.20052,0.48425,-0.37013,-0.59275,0.11896,-0.15415,-0.1952,-0.44033,0.14766,0.10525,-0.092482,0.5974,-0.42105,-0.35232,-0.10399,-0.004095,-0.036115,0.81258,-0.10405,-0.16374,-0.11229,-0.49718,-2.2655,1.9905,-0.47436,-0.38706,1.7623,-0.46486,-1.6327,2
-0.6055,0.73372,-0.62415,-0.56508,-0.73137,-0.63362,0.89926,-0.41777,-0.33262,-0.36924,-0.62585,-0.11159,-0.35162,0.65202,-0.067439,-1.4016,-0.15822,-1.5374,-1.1527,-0.28811,-0.42447,-1.3013,-0.45503,-0.4775,-0.47029,-0.92528,-0.83283,-0.11823,-0.2825,-0.44033,-0.54705,0.65202,-0.092482,-0.22559,-0.42105,-0.35232,-0.41853,-0.65677,-0.37137,-0.26431,-0.41369,-0.16374,-0.11229,-0.29498,0.91244,-0.44107,-0.34095,-0.4899,-0.54667,-0.17976,0.60546,4
-0.066999,-1.7111,2.7381,-0.78252,-0.073256,2.1733,-0.78431,-0.41777,0.027868,-0.64141,-0.50038,-0.29103,0.070555,0.75143,0.8514,-0.085814,-0.15791,0.58673,-0.75025,1.3148,0.27011,0.020912,-0.48509,-0.4775,-0.6391,-0.26172,-0.65087,-0.11823,-0.18278,-0.44033,-0.67335,0.75143,-0.092482,-0.22559,-0.42105,-0.35232,-0.23955,0.082552,-0.24536,-0.26431,-0.24721,1.8869,-0.11229,-0.57834,-2.0489,3.4576,-0.55678,-0.4899,0.46008,0.58334,-0.64159,5
-0.50021,0.43413,-0.47531,-0.39792,-0.48878,-0.58482,0.66407,-0.28157,-0.20773,2.3525,1.0023,1.3608,0.25715,0.75143,-0.17838,0.11952,-0.15723,0.58673,0.14321,-0.28811,-0.25662,-1.3013,-1.0455,-0.4775,-0.53193,-0.91991,-0.79201,-0.11823,-0.28359,-0.44033,-0.67335,0.75143,0.050869,-0.22559,-0.42105,-0.35232,-0.2512,-0.27628,-0.20721,-0.26431,-0.24827,-0.16374,0.026975,-0.36481,0.35617,-0.083523,-0.3566,-0.24014,-0.34995,-0.18942,0.4103,6
1.3865,0.83152,-0.23966,1.1608,0.92316,0.76381,-1.121,-0.55397,-0.53969,-0.23316,1.3207,-0.37547,-0.26047,-1.6345,-0.14376,-0.45864,-0.080971,1.5308,1.9504,1.8491,0.64334,1.1228,-0.41882,1.2056,-0.34112,1.5393,0.81209,0.32785,0.11136,-0.44033,2.3581,-1.6345,-0.092482,0.5974,-0.42105,-0.35232,-0.1167,-0.020106,-0.066172,0.70489,-0.11147,-0.16374,-0.11229,-0.38295,0.99018,-0.54541,-0.35835,-0.24231,-0.58574,-0.46486,0.73193,3
-0.28947,0.50272,-0.54098,-0.27019,-0.46839,-0.48905,0.60846,-0.14537,-0.010642,-0.09707,0.33697,-0.18812,0.010305,-0.14329,-0.13573,0.60262,-0.15413,0.58673,0.41809,0.78048,0.060331,0.020912,-0.37629,-0.4775,-0.60717,0.18967,-0.028297,-0.088061,-0.19381,-0.44033,0.46343,-0.14329,-0.092482,-0.22559,-0.42105,-0.35232,-0.23531,-0.1529,-0.18409,-0.26431,-0.23024,-0.16374,-0.11229,-0.57834,0.86089,-0.54541,-0.55678,-0.4899,-0.75562,-0.46486,0.90301,4
