V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,class
0.0710706,0.366667,0.24375,0.158218,0.895196,0.328456,0.223505,0.034932,0.204805,125.868,113.282,104.959,68.4999,64.5107,52.2195,0.273196,0.263817,0.239929,69.5749,2.77699,2.8835,17.6616,2.12042,4.06097,-0.112432,1.024,0.0485384,39
0.0149884,0.11875,0.186111,0.391277,0.738406,0.0985251,0.157135,0.0706564,0.321812,27.629,32.8907,28.8807,19.0996,21.2422,19.0159,1.69823,1.36717,2.1795,39.1389,-4.2122,2.31755,12.3151,8.64533,7.88389,0.00166711,0.736014,0.336879,64
0.584433,1.0,0.686111,0.484548,0.703557,1.02314,0.611831,0.0153976,0.148195,155.584,96.2419,71.1715,57.3008,44.1156,34.0396,-0.970915,-0.778034,-0.551466,67.8689,13.2324,17.0454,16.9408,5.3156,8.20541,-1.40969,2.21649,-0.126019,39
0.0871644,0.394444,0.277083,0.45649,0.866247,0.358333,0.246592,0.0316027,0.202478,26.1242,19.2823,13.6343,23.9367,20.038,16.7859,2.34196,2.45952,3.23983,29.8829,3.69015,9.95685,13.6255,4.12053,8.05017,0.908313,1.17666,1.07361,43
0.605189,1.0,0.61875,0.500873,0.304174,1.00042,0.605288,0.0144583,0.0219171,102.074,136.84,176.033,17.8067,12.1577,6.41963,0.634412,0.60781,0.943104,77.1109,-3.18578,-14.2944,2.94703,1.24499,3.10196,0.472123,-1.15515,-0.213443,78
0.0100868,0.1375,0.136111,0.537529,0.422747,0.110428,0.0993069,0.0969593,0.461039,78.3161,82.8365,42.0666,30.5864,30.2204,28.644,0.702601,0.331488,1.56341,61.1656,-8.88061,23.4662,10.1596,4.968,10.3555,-0.195405,0.847728,0.248483,40
0.513634,1.0,0.719444,0.572581,0.727493,0.943416,0.599487,0.0143314,0.286068,136.383,103.952,93.5887,42.1874,46.5204,47.7577,-0.0392424,0.791305,0.964981,69.9616,7.47626,7.90165,12.3221,4.15989,4.24731,-0.219573,0.00707319,-0.0904779,69
0.062228,0.964583,0.144444,0.4647,0.0519204,0.834814,0.123328,0.0868595,0.553373,191.243,147.685,128.704,42.7554,41.9449,41.0468,-0.702188,-0.272022,-0.074694,81.4785,6.94162,9.50823,9.58537,2.66343,4.18102,-0.895254,0.466846,0.726456,70
0.0244502,0.09375,0.333333,0.954762,0.733362,0.0901294,0.289669,0.0719527,0.217593,101.655,85.9998,73.0272,65.3653,62.6497,55.1589,0.911272,0.829452,0.658026,61.0598,3.63285,8.74709,18.7391,4.18178,8.42384,0.351117,0.359038,1.45719,84
0.0538426,0.702083,0.297222,0.510176,0.445153,0.523895,0.201052,0.0865219,0.741978,57.2543,57.7812,43.4077,44.8358,45.161,44.8896,2.06419,2.02616,2.3536,50.6634,-3.66449,10.7312,15.2775,2.66561,5.86467,1.04528,-0.0891694,0.822976,88
0.164647,1.0,0.197917,0.53428,0.084589,0.996365,0.17179,0.0309304,0.168099,84.8606,97.8282,132.028,17.5322,13.7715,9.75369,1.02404,0.695512,-0.110372,68.0193,1.44341,-13.7498,3.9345,0.67824,4.13793,0.556119,0.134446,2.14219,78
0.217865,0.63125,0.769444,0.20611,0.653,0.560981,0.676935,0.0314501,0.551453,177.741,173.692,163.104,18.7507,15.672,16.9911,0.255513,-0.0288057,0.0863578,85.9843,-0.330018,3.2161,3.17257,1.38231,1.6939,-0.125439,0.259657,0.206944,39
0.238008,0.408333,0.875,0.301753,0.636384,0.324395,0.745238,0.0190382,0.333856,185.175,107.888,93.0536,24.033,56.0298,67.8583,-1.64856,1.23066,1.22507,73.6988,17.7133,15.9485,10.7987,9.43236,10.2355,1.09134,-1.05767,-0.963407,16
0.0582234,0.38125,0.247222,0.621527,0.91466,0.400835,0.194178,0.0500944,0.382268,34.9485,42.9252,58.7961,18.5359,19.8246,36.2225,2.75647,1.56451,0.781093,46.3733,-0.45441,-8.96631,9.33835,4.48078,10.3595,0.496265,0.639666,-0.42545,25
0.153935,0.9625,0.255556,0.486212,0.45867,0.969112,0.199149,0.0454135,0.374177,147.389,130.805,128.002,86.1305,78.2093,77.607,-0.187709,0.0427828,0.22224,72.9299,3.79712,1.82702,21.4344,8.18496,12.858,-0.49193,2.35629,1.52636,40
0.0705093,0.847917,0.316667,0.455474,0.945284,0.713373,0.177316,0.085522,0.737402,150.26,107.132,76.5052,37.3458,26.9918,20.8539,-2.51028,-2.79398,-2.26521,71.4069,6.68605,16.4439,11.6683,3.11715,4.14448,-3.20899,-1.21512,-0.244481,49
0.156794,0.414583,0.627778,0.177443,0.755735,0.316389,0.535099,0.0261312,0.397563,69.5789,57.7605,55.3015,43.9628,41.6863,39.0371,1.7676,2.31147,2.65793,52.891,4.36376,2.57556,13.5575,2.80512,3.9757,1.17177,1.24164,-0.689238,55
0.161354,1.0,0.202778,0.505395,0.913891,1.02395,0.184265,0.0436124,0.204281,106.903,108.83,41.0917,17.8214,15.0696,15.8239,-0.393355,-0.51978,0.139546,69.6632,-10.536,33.2231,4.51236,3.0876,6.41907,-1.21148,-0.195711,0.867818,38
0.170807,1.0,0.29375,0.534942,0.105814,0.825547,0.259465,0.0302638,0.418528,215.394,236.747,252.161,19.0325,14.3317,10.2195,-2.79728,-6.91223,-12.4142,96.5435,-2.03398,-4.53888,2.9458,0.684381,2.48629,-8.92791,1.27372,-1.45971,77
0.0140104,0.180556,0.160417,0.0837246,0.517894,0.178425,0.130663,0.0834366,0.516284,78.4027,75.095,64.4531,32.6901,31.1983,31.9096,0.668234,0.679329,0.708123,59.6451,-1.00967,6.42042,10.7733,2.02967,3.31734,0.0717158,-0.80114,1.21231,88
0.0197338,0.1125,0.352778,0.823423,0.751631,0.0696341,0.332719,0.0970674,0.502771,218.819,225.132,219.987,49.5141,49.4724,51.8799,-1.83268,-2.03286,-1.93246,94.0804,-1.53023,1.0606,10.5435,2.11445,1.75154,-2.59638,0.896626,3.31946,18
0.194525,1.0,0.297917,0.593513,0.112235,0.963632,0.265023,0.032732,0.34705,201.384,208.454,218.086,3.92235,4.2168,5.4153,-12.3706,-16.7085,-14.3491,92.3166,-0.322544,-2.68047,0.822515,0.513473,0.635409,-21.9388,2.86669,10.9037,77
0.031331,0.210417,0.202778,0.917439,0.889091,0.185374,0.182932,0.0517178,0.265699,82.8267,78.9991,56.6356,27.2143,24.7278,25.0677,-0.810145,-0.7914,-0.372217,60.9336,-3.10571,13.2216,10.4628,3.34002,6.51583,-1.69769,-1.67908,1.32044,17
