Dataset,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,can_cor.mean,can_cor.sd,cat_to_num,class_conc.mean,class_conc.sd,class_ent,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,eq_num_attr,freq_class.mean,freq_class.sd,g_mean.mean,g_mean.sd,gravity,h_mean.mean,h_mean.sd,inst_to_attr,iq_range.mean,iq_range.sd,joint_ent.mean,joint_ent.sd,kurtosis.mean,kurtosis.sd,lh_trace,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,mut_inf.mean,mut_inf.sd,nr_attr,nr_bin,nr_cat,nr_class,nr_cor_attr,nr_disc,nr_inst,nr_norm,nr_num,nr_outliers,ns_ratio,num_to_cat,p_trace,range.mean,range.sd,roy_root,sd.mean,sd.sd,sd_ratio,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t_mean.mean,t_mean.sd,var.mean,var.sd,w_lambda,DecisionTree,SVM,KNN,LR,MLP
autoUniv-au6-1000,0.0075851081244144155,0.0032242397220313673,2.8026678208724487,0.8106262833384581,0.044,0.20570961350841585,0.046754470393960454,0.0,0.007714692867802478,0.004093482375723374,2.9216026617368103,0.03006252879474553,0.05627134270093689,36776.73481041324,1029106.3839216102,23975032.34633664,111404601.80296075,73.29072505836906,0.125,0.048029752683697455,3294.124365162998,11702.158808254957,1779.6943754842403,3030.0013835336094,10833.76727793182,22.727272727272727,2034.3731136363633,8684.853811308736,5.684407284920738,0.7950944699796708,-0.9579298929907343,0.6706859823874094,0.32653148879440885,1555.2316473749997,6816.727040579921,5709.281727272727,20970.078104704015,3564.7237126136356,12651.245244896892,3728.7535568181816,13235.048168079997,1914.9865454545454,7649.145897499255,0.03986319768852106,0.02661486829529521,44,7,0,8,0.0031712473572938693,7.0,1000,0.0,44,6,69.30715003777783,,0.3093309986393912,3794.2951818181823,16008.366129151611,0.08734228372916478,1139.378584934896,4817.075602786328,,0.009751453685873603,0.5184395449474594,0.08602148610420263,0.18209615685849706,3506.9808712121217,12432.820806489233,23975032.346336618,111195217.57909313,0.7277831948388398,0.20197742652832473,0.24000047952143763,0.18900037762313213,0.22598346849843856,0.15901230571889255
autoUniv-au6-750,0.00854062280051438,0.00580824654583581,2.8015462156489583,0.8106419631339609,0.058666666666666666,0.23156895160931962,0.051994049648641905,0.0,0.009487498786751742,0.0030953592597365706,2.893653383238954,0.03484486640450342,0.05699210644979275,27577.140796264688,556483.6040466895,23541691.750635937,108699627.03228922,57.682588544388636,0.12499999999999999,0.053763739476897277,3245.1439517657273,11547.660849569043,2362.676012340013,2986.7554472584834,10708.406159493976,17.045454545454547,2007.1887102272726,8494.357329199489,5.645034489168328,0.7908876268793764,-0.9347921662354722,0.6932007592182454,0.41949966886930584,1600.886477972727,6943.821434655829,5708.412681818182,20968.696461067295,3514.499744727273,12481.814007572417,3635.191568181818,12903.902120887462,1916.6938409090908,7651.635075923649,0.05016510971958536,0.025526853059488055,44,7,0,8,0.004228329809725159,7.0,750,0.0,44,8,54.84650828651899,,0.3915895426392685,3791.7188409090913,15997.761879635804,0.11192986265856078,1131.8201781514051,4772.668535254287,,0.025140640745056387,0.533240846852364,0.08592189939995792,0.18206135539370108,3448.8166358585863,12240.801356276232,23541691.75063593,108636845.51011664,0.6668597504315958,0.19066666666666668,0.2333333333333333,0.14533333333333334,0.24533333333333332,0.14133333333333334
BachChoralHarmony,0.005286193688973681,0.026236831925640716,0.36056874743810396,0.5023085346532051,0.018358340688437776,0.24141399322277718,0.24778796166959446,0.0,0.2570086192611117,0.263456567118693,4.970367640442071,0.044464707368888697,0.07453146598891812,0.00900494430023843,0.06507203493539516,13.4282761278578,136.18920331659677,31.64114336029366,0.009803921568627449,0.019486732579002245,0.39345107536085683,3.7328646629584363,19.391316747035184,0.20515350014832143,1.841008123641475,54.47115384615385,0.625,5.001334773294336,5.173850798909981,0.4087932978852149,152.16154082902762,775.8687325115633,33.11951767674541,0.37065,3.63601811948768,3.019230769230769,20.199961919232944,0.6779737253038223,5.231033354753735,0.6057692307692307,4.711931290874037,0.019230769230769232,0.1380002272946792,0.15708558897019392,0.19959625647222606,104,102,0,102,0.002987303958177745,101.0,5665,8.0,104,91,1.2953649014011064,,12.026239723337719,3.0,20.10120027329673,6.950793599254099,0.5745731397638256,3.6366616917856796,,6.892241978460683,10.374910562885905,0.4922645167008882,0.05653668741960343,0.6115967365967366,4.770341106947395,13.428276127857798,136.18755587247995,1.542626108395697e-08,0.667966191420445,0.1417473635648551,0.5299202863440735,0.713855565824144,0.5189909691254453
cardiotocography,0.03524207426849812,0.05224424544238208,2.127211404036257,1.4584979728272394,0.016462841015992474,0.9999999999999998,1.8410966031475738e-16,0.0,0.35877973197168894,0.42130602011548185,2.913356388291818,0.16656373286016293,0.16763102476513164,1402.717760905005,32240.681321394317,47793.721852809416,273716.9910703851,7.382268497177457,0.1,0.08207275433163867,,,291.6792819282486,,,60.74285714285714,92.36999999999999,338.44179754210234,4.645925361020446,1.4259643967975566,17.676318020943445,52.53407083507405,inf,51.68343599999999,184.44809088047847,273.5057142857143,802.1952662915083,106.21290686735655,316.7994019245148,82.3457142857143,225.4099446405529,25.60571428571429,57.97824106485804,0.3946424313076276,0.25289603929442717,35,11,0,10,0.05378151260504202,9.0,2126,0.0,35,25,4.390224758619721,,8.999999999999998,247.9,770.705356456401,inf,60.49882589182836,213.14704170293192,,2.388815785610404,3.4527271303051803,0.18682983969344166,0.22383217158035507,94.90479175996417,278.825566407405,47793.72185280941,196295.99021674646,0.0,0.9995298542548191,0.25493453818141254,0.32032331152600807,0.5888847717933803,0.6514692718584569
collins,0.025219788060312654,0.021636045155823107,3.1506962239350234,0.05986021989099759,0.019,0.29035561635742835,0.21910970669393898,0.0,0.0781528739215605,0.031737618501282025,4.648562076012778,0.21493716119922762,0.16354739164066112,0.3572042623161173,0.9741895322914078,2.4722189370001577,8.03594910866248,10.139280847879235,0.03333333333333333,0.02087290494683335,2.91207876718085,6.935453571653532,9.766091457748637,2.758298847502925,6.818663131762533,52.63157894736842,1.3757894736842107,1.7605815115387107,7.340787709601636,0.17891102986823273,3.7907548288400745,6.772444000132294,6.047184345351949,0.971883315789474,1.2894995706284265,7.82842105263158,9.582247047510943,3.303781052631579,6.9442674556707376,3.1378947368421053,6.851230286068958,0.8942105263157896,2.922244791232083,0.45847059034616716,0.17648679806828502,19,0,0,30,0.07017543859649122,19.0,1000,0.0,19,19,5.872188293596101,,2.4659844392708115,6.934210526315789,6.915708621030396,3.92037390840408,1.0603008551929445,1.1928406719551652,,1.1947317120891043,0.9941847242041884,0.0033473010222217566,0.0021857310739240355,3.1969754385964917,6.953065154513699,2.4722189370001577,6.6502454903292545,0.031184477790765275,0.14700029370688053,0.15999532466598335,0.16399033764303225,0.24999850149550748,0.23498648348947748
Corporate_Credit,0.0006164545784165458,0.0020689140976191327,0.06015025827604645,0.3849658310600783,1.050763923114835,0.9001534589958096,0.073619666066764,0.0,0.006667801427953793,0.027400184470192185,2.3129542388355264,0.002449975582570322,0.02296647517194636,37592.61029926905,27979705.60091072,53001364.680854686,1759073373.726577,603.3450414545894,0.09999999999999999,0.1207643244892663,,,14800.134766036643,,,0.951688555347092,0.039909849845684804,0.8583476574904891,2.3692709456941965,0.37228646026840134,1059.9647173536819,665.2706472461751,71.44077971067593,0.027215437939428516,0.625380357774444,11721.800012225984,247305.64118364415,12.7860963124336,267.4636572360739,0.03841073407410881,0.9634136627031621,-72.62028491911444,2100.0242745939313,0.003833551417376835,0.014439903805268616,2132,2107,0,10,0.00043536713026589533,9.0,2029,0.0,2132,2129,14.690479069459085,,7.3358450895333425,11794.4202971451,247511.4626350366,23.10905917247066,349.69928939353116,7273.505983694431,,30.770195080920203,10.621902521455027,0.49389344997645623,0.05380986240707118,0.0392140917029537,0.9512946960187382,53001364.68085471,1193847128.7169104,2.9085723532851286e-08,0.33464655822910566,0.3302116018284636,0.24791617502673066,0.3080309929815668,0.28929623381958347
Corporate_Credit_Rating,0.012236298099605396,0.02702126608958585,2.0084655841400894,1.5892154531834957,0.02661409561360276,1.0,,0.0,0.013892500662859868,0.04539134062588504,0.9480911965241458,0.044217749646788596,0.1264913016163016,59676564.1318873,1113582991.5557141,2092572399.6188996,10957522953.737593,47.92719752700155,0.5,0.1885385749738404,,,28158.050442139323,,,37.574074074074076,1.9460703679814815,5.437335366471778,2.936774877163827,1.5923766508658443,458.6096419102404,499.4951928651913,inf,1.3490613645715113,4.017494398253658,462793.62270492216,1498801.1835053999,542.4958056242083,1630.8226391018509,39.22021638974074,273.87460623514534,-2829.9897675472594,13017.197158602452,0.019781903500408166,0.04538929242240408,54,26,0,2,0.01816911250873515,1.0,2029,0.0,54,49,100.53045100531644,,1.0,465623.61247246945,1499297.0083258073,inf,13805.5421494572,44021.19727423708,,10.783655614248843,16.59762113793391,0.24480069289287862,0.24868107475817064,39.277957291033026,273.88536758518075,2092572399.6188993,7277236577.905749,0.0,1.0,0.6318374368879994,0.593407217711274,0.7733044613228683,0.8280105116260099
Corporate_Credit_Ratings,0.010654905023757823,0.030197383709573884,2.0084655841400894,1.5892154531834957,0.02661409561360276,1.0,,0.0,0.013892500662859868,0.04539134062588504,0.9480911965241458,0.044217749646788596,0.1264913016163016,59676564.1318873,1113582991.5557141,2092572399.6188996,10957522953.737593,47.92719752700155,0.5,0.1885385749738404,,,28158.050442139323,,,37.574074074074076,1.9460703679814815,5.437335366471778,2.936774877163827,1.5923766508658443,458.6096419102404,499.4951928651913,inf,1.3490613645715113,4.017494398253658,462793.62270492216,1498801.1835053999,542.4958056242083,1630.8226391018509,39.22021638974074,273.87460623514534,-2829.9897675472594,13017.197158602452,0.019781903500408166,0.04538929242240408,54,26,0,2,0.01816911250873515,1.0,2029,0.0,54,49,100.53045100531644,,1.0,465623.61247246945,1499297.0083258073,inf,13805.5421494572,44021.19727423708,,10.783655614248843,16.59762113793391,0.24480069289287862,0.24868107475817064,39.277957291033026,273.88536758518075,2092572399.6188993,7277236577.905749,0.0,1.0,0.6318374368879994,0.593407217711274,0.7733044613228683,0.8280105116260099
Corporate_Credit_Rating_Classification,-1.826668220250501e-05,1.4138085759364214e-05,0.06015025827604645,0.3849658310600783,1.050763923114835,0.9001534589958096,0.073619666066764,0.0,0.006667801427953793,0.027400184470192185,2.3129542388355264,0.002449975582570322,0.02296647517194636,37592.61029926905,27979705.60091072,53001364.680854686,1759073373.726577,603.3450414545894,0.09999999999999999,0.1207643244892663,,,14800.134766036643,,,0.951688555347092,0.039909849845684804,0.8583476574904891,2.3692709456941965,0.37228646026840134,1059.9647173536819,665.2706472461751,71.44077971067593,0.027215437939428516,0.625380357774444,11721.800012225984,247305.64118364415,12.7860963124336,267.4636572360739,0.03841073407410881,0.9634136627031621,-72.62028491911444,2100.0242745939313,0.003833551417376835,0.014439903805268616,2132,2107,0,10,0.00043536713026589533,9.0,2029,0.0,2132,2129,14.690479069459085,,7.3358450895333425,11794.4202971451,247511.4626350366,23.10905917247066,349.69928939353116,7273.505983694431,,30.770195080920203,10.621902521455027,0.49389344997645623,0.05380986240707118,0.0392140917029537,0.9512946960187382,53001364.68085471,1193847128.7169104,2.9085723532851286e-08,0.33464655822910566,0.3302116018284636,0.24791617502673066,0.3080309929815668,0.28929623381958347
dailybike,0.05267879586401096,0.14501361858304085,2.242050474168217,1.1378597549931804,0.016415868673050615,0.904505688601121,0.05184826057034201,0.0,0.8477162028526709,0.015386477653621767,9.159029630815443,0.10509644502389176,0.1805278467100216,0.07472917349351464,0.39171078257640374,7.971829441994093,22.242594392720058,4.5313768885260055,0.0016501650165016502,0.0006223506485202144,169.46821234750325,580.1007414409996,16.9712858324239,168.9248679012581,580.2652574391196,60.916666666666664,2.4914637916666664,4.335265413170217,9.37983361498032,0.09492305594401663,1.6160099667302579,8.88478905851047,88.1602391583338,1.7850096285,3.481663490851105,172.7652105,579.2739057994567,170.26243901354312,579.8567356412941,170.39939233333334,579.9716666917634,167.93004930833334,580.4166992711829,2.0212464900033393,1.0465143272977302,12,3,0,606,0.045454545454545456,12.0,731,0.0,12,3,0.10924149293860387,,9.847137151907331,4.835161191666667,8.500588695557111,32.70665886618288,1.4684182571992794,2.51878266352861,,0.5176927368882427,1.6653021731316904,0.1946027496445156,0.2118666988713772,170.25999459415337,579.8576436908155,7.971829441994093,22.20028471840035,1.7271164568195378e-10,0.00273224043715847,0.002737862331062088,0.0,0.001366120218579235,0.002737862331062088
