V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,class
9419.0,-2109.0,10000.0,727.0,772.0,10000.0,409.0,-2092.0,-196.0,15.0,5695.0,410.0,-7911.0,0,-1876.0,8958.0,8571.0,4462.0,324.0,432.0,6.0,10000.0,-5459.0,806.0,-96.0,37.0,0,4070.0,6593.0,2404.0,-619.0,9717.0,0,-1665.0,0,581.0,0,6116.0,603.0,150.0,83.0,-77.0,285.0,-736.0,479.0,-505.0,10000.0,-2278.0,167.0,-2794.0,7904.0,-485.0,8,0,9849.0,-417.0,203.0,236.0,197.0,5.0,224
8552.0,-944.0,10000.0,22408.0,-197.0,10000.0,-4323.0,24352.0,116.0,-228.0,6781.0,-2599.0,-5270.0,0,32458.0,8739.0,8968.0,-856.0,1890.0,283.0,-556.0,10000.0,-6440.0,-3123.0,-157.0,208.0,0,-413.0,7735.0,-1699.0,993.0,8654.0,0,3189.0,0,1448.0,0,8499.0,-743.0,-995.0,2281.0,-20540.0,6448.0,-669.0,520.0,41128.0,9637.0,-5891.0,34.0,7106.0,8413.0,1562.0,8,0,8988.0,27234.0,2173.0,288.0,-2740.0,184.0,87
9443.0,-3375.0,10000.0,8642.0,842.0,10000.0,868.0,-2159.0,494.0,-17.0,5729.0,664.0,-5215.0,0,21.0,8215.0,9351.0,1426.0,1401.0,0.0,97.0,10000.0,-14870.0,-1853.0,-119.0,374.0,0,3378.0,6445.0,-3618.0,-178.0,9403.0,0,-21.0,0,557.0,0,8533.0,344.0,321.0,88.0,-2137.0,983.0,-337.0,191.0,-274.0,10000.0,-4139.0,45.0,-5261.0,7586.0,-269.0,9,0,9958.0,-1066.0,661.0,470.0,448.0,-228.0,224
9176.0,1311.0,10000.0,-128.0,81.0,10000.0,-60.0,-96.0,-25.0,-36.0,5937.0,-139.0,-7306.0,0,27.0,10000.0,6599.0,-21.0,-885.0,-25.0,221.0,9969.0,131.0,-7.0,-21.0,-234.0,0,4093.0,9259.0,11.0,326.0,10000.0,0,-1063.0,0,824.0,0,6828.0,-374.0,-55.0,2338.0,117.0,-228.0,-798.0,-154.0,-852.0,10000.0,-1735.0,121.0,481.0,7766.0,-144.0,7,0,9363.0,1414.0,-172.0,136.0,-47.0,-66.0,41
8405.0,-960.0,10000.0,2037.0,255.0,10000.0,345.0,-2715.0,824.0,-379.0,5233.0,64.0,-7079.0,0,-428.0,8464.0,7150.0,207.0,-392.0,-65.0,353.0,10000.0,-691.0,198.0,-272.0,571.0,0,2849.0,7191.0,54.0,-925.0,9988.0,0,-168.0,0,1595.0,0,7063.0,-1360.0,472.0,-277.0,-611.0,46.0,-685.0,-137.0,-1266.0,10000.0,-2224.0,629.0,-394.0,8359.0,159.0,8,0,6166.0,-2836.0,389.0,2058.0,316.0,-57.0,0
5973.0,1273.0,10000.0,1031.0,-949.0,10000.0,-88.0,273.0,669.0,303.0,4196.0,168.0,602.0,0,-514.0,7273.0,6084.0,-16.0,699.0,-130.0,134.0,9423.0,576.0,-168.0,-122.0,-423.0,0,2360.0,9835.0,-207.0,809.0,10000.0,0,-787.0,0,4027.0,0,9982.0,-453.0,-690.0,-1463.0,-77.0,518.0,102.0,-262.0,901.0,7438.0,4763.0,-49.0,358.0,10000.0,336.0,8,0,6667.0,-781.0,-1003.0,213.0,102.0,-87.0,261
9721.0,-252.0,10000.0,1321.0,197.0,10000.0,-180.0,2849.0,147.0,25.0,6867.0,150.0,-7747.0,0,1553.0,9686.0,9985.0,25.0,-654.0,215.0,-160.0,10000.0,-35.0,-205.0,-172.0,52.0,0,4355.0,6523.0,-132.0,-591.0,8653.0,0,1301.0,0,279.0,0,6324.0,1141.0,162.0,5586.0,-1065.0,-183.0,-643.0,144.0,449.0,10000.0,-1741.0,237.0,329.0,6189.0,540.0,8,0,9623.0,995.0,-23.0,-255.0,-382.0,61.0,83
9366.0,-2170.0,10000.0,4175.0,380.0,10000.0,772.0,-4039.0,461.0,11.0,6154.0,1360.0,-5512.0,0,-2171.0,7756.0,8876.0,261.0,1352.0,214.0,-175.0,10000.0,-1453.0,118.0,0.0,240.0,0,4327.0,5962.0,-109.0,465.0,10000.0,0,123.0,0,634.0,0,8344.0,26.0,872.0,6011.0,-2052.0,1326.0,-351.0,99.0,-5203.0,10000.0,-4225.0,-22.0,-1805.0,7889.0,-73.0,8,0,6667.0,-9403.0,-3778.0,700.0,30.0,11.0,1
8493.0,-1745.0,10000.0,1051.0,298.0,10000.0,98.0,135.0,-408.0,-31.0,7251.0,9.0,-9422.0,0,649.0,9365.0,7990.0,39.0,107.0,347.0,-46.0,8098.0,-489.0,-33.0,0.0,-178.0,0,2637.0,9917.0,-69.0,538.0,10000.0,0,-2043.0,0,1507.0,0,3350.0,236.0,144.0,-682.0,-249.0,135.0,-693.0,532.0,206.0,10000.0,-1574.0,-220.0,-150.0,7906.0,-236.0,10,0,5057.0,-1031.0,866.0,1160.0,95.0,-19.0,108
7623.0,-1755.0,10000.0,30.0,1447.0,10000.0,-35.0,-1760.0,1591.0,93.0,4376.0,1667.0,-9923.0,0,-113.0,5484.0,6210.0,-553.0,294.0,169.0,485.0,7180.0,-41408.0,-17.0,77.0,-278.0,0,890.0,7961.0,3069.0,-1012.0,7736.0,0,138.0,0,2377.0,0,1235.0,656.0,639.0,302.0,-849.0,2720.0,-1405.0,45.0,310.0,7655.0,-4374.0,314.0,2953.0,8814.0,920.0,12,0,6527.0,759.0,-158.0,-1109.0,-396.0,-172.0,82
7931.0,-1267.0,10000.0,-1474.0,-939.0,10000.0,1156.0,-2806.0,-345.0,538.0,7013.0,2551.0,-7408.0,0,3831.0,7915.0,7988.0,1011.0,479.0,-521.0,-174.0,10000.0,-1611.0,-295.0,37.0,346.0,0,2911.0,6877.0,640.0,-1198.0,8098.0,0,-471.0,0,2069.0,0,6717.0,1586.0,787.0,-8314.0,-6955.0,1851.0,-852.0,366.0,-29276.0,9063.0,-5873.0,-169.0,-14293.0,7082.0,277.0,8,0,8902.0,-18113.0,2048.0,607.0,615.0,-261.0,55
8316.0,2394.0,10000.0,-83.0,-486.0,10000.0,-20.0,557.0,106.0,293.0,5964.0,-239.0,-7695.0,0,901.0,8738.0,6599.0,-35.0,-1035.0,319.0,332.0,9805.0,120.0,10.0,100.0,129.0,0,2308.0,7687.0,-9.0,-1088.0,9536.0,0,-965.0,0,1684.0,0,6387.0,-1215.0,144.0,1497.0,311.0,-543.0,-703.0,213.0,-535.0,10000.0,-2486.0,-184.0,430.0,8101.0,-174.0,8,0,8875.0,2404.0,-1912.0,797.0,-249.0,409.0,192
