V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,Class
-1.1052,-2.0454,-0.51883,-1.0652,-0.7905,0.14717,0.64673,-0.41777,0.35421,-0.50533,-0.04233,-0.3438,-0.13686,-1.7339,0.11761,-0.13786,-0.13493,1.2948,0.16621,2.1163,0.19933,1.6737,0.37143,1.3258,0.069702,0.84984,0.7029,-0.009047,0.21512,-0.44033,2.4844,-1.7339,-0.092482,5.5353,-0.42105,-0.35232,-0.158,0.42443,-0.091606,9.7508,-0.15601,-0.16374,-0.11229,-0.57834,-2.4037,2.4442,-0.55678,-0.4899,0.75593,-0.46486,-0.6192,2
-0.015087,0.83152,-0.053546,0.2333,0.02123,-0.46948,0.16461,-0.28157,-0.11402,-0.50533,-0.60081,-0.31477,-0.20109,-0.54094,0.15618,-0.60497,-0.12614,0.58673,1.4846,0.99422,0.97031,0.020912,0.38423,-0.11684,-0.15234,0.18967,1.0139,-0.093562,0.12977,-0.44033,0.96867,-0.54094,-0.092482,-0.22559,-0.42105,-0.35232,-0.04045,0.81999,0.026312,0.27414,-0.035125,-0.16374,-0.11229,-0.57834,0.99018,-0.53031,-0.55678,-0.4899,-0.78459,-0.46486,0.93219,4
-0.54502,0.43413,-0.52887,-0.42461,-0.51473,-0.64397,0.71031,-0.28157,-0.19854,2.3525,1.0539,1.3608,0.26918,0.75143,-0.176,0.12641,-0.15725,0.58673,0.081784,-0.28811,-0.23098,-1.2132,-0.93545,-0.4775,-0.46684,-0.91126,-0.77697,-0.11823,-0.27298,-0.44033,-0.67335,0.75143,0.050869,-0.22559,-0.42105,-0.35232,-0.25226,-0.2744,-0.20837,-0.26431,-0.24933,-0.16374,0.026975,-0.47924,0.35266,-0.23579,-0.45614,-0.36433,-0.4484,-0.24329,0.52592,6
-0.4495,0.44389,-0.47475,-0.32319,-0.406,-0.62094,0.60444,-0.28157,-0.235,2.3525,1.2627,1.3608,0.39984,0.70172,-0.11627,0.58245,-0.15721,0.58673,0.38593,0.99422,0.086988,0.020912,0.014011,-0.30438,0.1461,0.18967,0.2453,-0.088506,0.12145,-0.3415,-0.67335,0.70172,0.050869,-0.22559,-0.22077,-0.22369,-0.26602,-0.26027,-0.22224,-0.26431,-0.26418,-0.16374,0.026975,-0.55443,0.012751,-0.28922,-0.5325,-0.4596,-0.54119,-0.30444,0.63805,6
1.4895,0.81688,2.1168,1.7836,1.5346,-0.30543,-1.2477,-0.14537,-0.59356,-0.23316,0.31218,-0.29103,-0.2751,0.75143,-0.23391,-0.94474,-0.15843,-1.7734,-0.29911,-0.28811,-0.42527,-1.081,-1.4812,-0.4775,-0.36753,-0.71312,-0.50854,-0.11823,-0.27301,-0.44033,-0.67335,0.75143,0.050869,-0.22559,-0.42105,-0.35232,-0.41641,-0.65489,-0.36906,-0.26431,-0.41369,-0.16374,0.026975,1.8323,0.97743,2.6676,1.6917,-0.48278,1.4744,0.23245,-1.5559,6
2.0094,0.83152,-0.61188,2.2738,2.0055,-0.058381,-1.7638,-0.82637,-0.70995,-0.23316,0.47259,-0.31214,-0.31865,-2.2807,-0.18976,-1.4945,0.011711,0.58673,0.41921,-0.28811,-0.47803,0.020912,0.46834,0.24381,0.72689,0.18967,0.15446,-0.10121,-0.12285,1.0421,2.2318,-2.2807,-0.092482,-0.22559,-0.42105,-0.35232,0.90104,0.51673,0.49682,-0.26431,0.90759,-0.16374,-0.11229,2.4111,0.99018,-0.54541,2.4793,2.6688,2.2579,-0.46486,-2.1318,6
-0.76965,0.83152,-0.048406,-0.67574,-0.86276,-0.85786,1.104,-0.28157,0.081413,-0.7775,-0.79958,-0.31741,-0.18734,0.5029,-0.16332,-0.56908,-0.1584,-0.54614,-1.0066,-0.28811,-0.42916,0.020912,-0.022059,-0.4775,-0.4805,-0.48097,-0.63718,-0.11823,-0.28019,-0.045005,-0.6102,0.5029,-0.092482,-0.22559,0.58034,0.41943,-0.36028,-0.59744,-0.31588,-0.26431,-0.36067,-0.16374,-0.11229,-0.17463,0.99018,0.51005,-0.15653,0.009494,-0.38349,-0.43263,0.51841,5
-1.1052,-0.8725,1.5034,-1.0652,-1.0507,1.0168,0.53856,0.39943,0.49542,-0.7775,-1.2651,-0.29894,-0.22321,0.75143,-0.119,0.64917,-0.15908,-0.54614,-0.97711,-0.28811,0.006228,0.020912,-0.88574,-0.4775,-0.38144,-0.33726,-0.64404,-0.11823,-0.17198,-0.44033,-0.67335,0.75143,-0.092482,-0.22559,-0.42105,-0.35232,-0.40158,-0.59744,-0.35403,-0.26431,-0.39673,-0.16374,-0.11229,-0.57834,-1.1447,1.327,-0.55678,-0.4899,-0.51469,3.012,-0.40213,4
-0.5682,0.35534,-0.34234,-0.68139,-0.86826,-0.31354,0.89609,-0.41777,-0.034756,-0.50533,-0.47447,-0.33325,-0.21333,-0.49123,-0.11555,-0.14495,-0.1451,0.58673,0.34266,1.3148,0.20146,0.020912,0.040991,0.24381,-0.11297,0.18967,0.23801,-0.069703,-0.062341,-0.44033,0.90551,-0.49123,-0.092482,-0.22559,-0.42105,-0.35232,-0.12835,0.2097,-0.090449,0.16644,-0.12314,-0.16374,-0.11229,-0.57834,0.16624,-0.476,-0.55678,-0.4899,-0.76701,-0.46486,0.91448,6
-0.72351,-0.77053,-0.5097,-0.66509,-0.8524,-0.23572,0.85154,0.39943,0.39595,-0.36924,-0.67392,-0.26728,-0.15111,0.75143,-0.16812,0.70985,-0.15917,-1.1126,-0.73725,-0.28811,-0.07567,-0.86058,-0.040012,-0.4775,-0.47954,-0.56068,-0.50551,-0.11823,-0.18619,-0.44033,-0.67335,0.75143,-0.020807,-0.22559,-0.020493,-0.09507,-0.39946,-0.60874,-0.35981,-0.26431,-0.39779,-0.16374,-0.04266,-0.52635,-0.042732,-0.33656,-0.50398,-0.42402,-0.73168,0.3198,0.63912,4
