V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,class
0.517222,0.98125,0.683333,0.48092,0.727985,0.946924,0.570504,0.0163579,0.228626,103.852,79.6721,89.648,71.7879,55.7594,49.1087,0.55007,0.913625,0.882131,61.16,9.49112,-3.08232,16.4412,17.1941,15.9537,0.363105,2.54258,1.44152,40
0.548241,1.0,0.622222,0.499851,0.708975,1.0089,0.618258,0.0225996,0.118899,152.498,159.01,100.665,18.002,13.0324,17.7747,0.651632,-0.193932,1.19734,81.8308,-7.88837,18.8966,3.07852,2.58594,3.3666,-1.25497,0.676022,-0.589624,38
0.163848,0.730556,0.433333,0.227736,0.836065,0.519949,0.380165,0.028856,0.482433,197.018,177.484,159.425,18.9894,17.0715,20.5208,-1.34508,-1.55429,-1.59034,87.2341,1.8138,6.34265,3.48151,1.58738,5.19711,-2.11499,-1.43155,4.24928,29
0.00600694,0.0770833,0.0972222,0.0349249,0.426445,0.0703629,0.0871761,0.120424,0.198456,91.2601,99.5848,77.2457,21.3947,19.4828,20.1793,0.608715,1.09075,1.48035,67.451,-5.8697,8.85589,5.51939,1.9436,3.48943,0.546457,0.260639,-0.422882,57
0.266181,0.6125,0.575,0.324865,0.718015,0.585819,0.468718,0.0210236,0.244208,94.9535,77.4996,77.2368,63.3075,54.9665,49.2729,0.744115,0.951107,1.07199,59.335,5.93166,1.14161,17.2905,10.6384,5.83406,0.362603,3.43813,0.776675,40
0.00320602,0.05625,0.0722222,0.0616125,0.783093,0.0511779,0.061713,0.149819,0.210826,64.3105,62.0614,58.9278,23.8003,22.3136,22.7612,-0.246702,-0.0986396,-0.163629,55.2889,-0.0159234,2.27206,9.59009,1.72972,1.49016,-0.569409,-1.32126,1.01151,6
0.0715683,0.314583,0.347222,0.858837,0.496742,0.297998,0.271189,0.0367106,0.344795,49.8482,50.1836,46.3616,10.3059,10.367,10.3637,4.51583,4.76364,5.03765,51.0885,-1.02706,2.40289,3.80374,0.928439,1.48791,3.42315,0.171533,0.275097,88
0.816973,1.0,0.944444,0.545966,0.57778,0.951083,0.88447,0.0113619,0.134969,100.247,127.162,122.147,32.8591,37.6184,41.0975,-0.253837,-0.207709,-0.375714,73.4541,-7.41984,-0.094595,9.82957,4.01915,5.08894,-0.648259,-0.870799,1.02209,64
0.165104,0.5625,0.34375,0.26363,0.842602,0.516405,0.317822,0.026735,0.146128,60.4978,94.701,121.511,20.7719,17.4675,21.057,1.529,0.422484,-1.18317,65.4395,-6.02079,-13.4664,5.30511,2.29782,6.09731,-0.118472,0.516646,1.73744,59
0.27401,0.51875,0.788889,0.752282,0.67933,0.430952,0.696451,0.0205918,0.330434,154.84,147.053,144.738,63.5097,67.7801,73.6367,-0.411836,-0.191934,-0.0310584,77.9926,2.12911,2.61276,17.2017,4.5698,8.77636,-0.898406,2.02055,0.531118,97
0.0569792,0.260417,0.30625,0.893817,0.714806,0.237136,0.26037,0.0446755,0.285551,167.737,162.375,147.994,20.63,18.7067,17.8991,0.0209892,-0.355899,-0.518049,83.6606,-0.466672,4.56655,3.98309,0.702727,1.09509,-0.670149,0.436329,0.218219,45
0.00686343,0.0805556,0.108333,0.682214,0.26234,0.070397,0.0958913,0.102867,0.213528,136.938,128.442,125.567,54.1382,52.918,51.3054,-0.142516,-0.0683022,-0.0566529,74.6802,1.76885,1.65893,13.7836,2.39585,3.14871,-0.494088,0.818221,0.157304,52
0.0820428,1.0,0.239583,0.724432,0.0732779,0.865045,0.201141,0.0611554,0.65756,111.348,110.447,91.6066,23.8124,25.3647,28.1819,0.191271,1.62139,2.10731,71.0236,-2.33834,7.76153,6.1043,4.60207,3.86351,0.651291,-1.51768,-0.394742,92
0.213802,0.78125,0.563889,0.697314,0.184389,0.632405,0.45786,0.0320747,0.51468,97.4643,165.819,227.233,11.477,12.6986,13.0037,-1.41782,-2.19089,-3.26412,82.3273,-7.313,-20.2597,2.99503,0.810874,1.36963,-5.56643,-0.531052,-2.60912,78
0.0200752,0.127083,0.208333,0.521726,0.498274,0.112409,0.185294,0.061401,0.241749,117.716,130.374,140.328,25.3508,23.3695,21.9882,1.36908,1.27577,1.1012,75.9712,-1.72557,-4.31116,5.33673,0.86045,2.4467,0.942998,0.523047,0.716652,6
0.207685,0.485417,0.725,0.455907,0.548573,0.425894,0.595429,0.028171,0.409863,122.219,81.746,81.6268,59.7615,58.0026,48.8215,-0.164768,0.426676,0.805196,62.4847,14.0046,3.87932,17.2224,19.7038,6.91478,-0.0539953,1.86463,-0.404021,40
0.0930208,0.577083,0.378125,0.758094,0.809503,0.545518,0.292634,0.0478723,0.573709,80.9675,93.6496,119.278,31.7501,34.8016,42.3413,0.0359435,-0.0502487,-0.292358,65.006,0.0788507,-10.8357,12.8119,1.54642,2.1166,-1.61205,-3.15323,2.94299,85
0.044213,0.19375,0.294444,0.869524,0.400341,0.164908,0.260235,0.0386126,0.224995,139.684,95.7838,76.4427,88.5496,61.8688,47.6843,-0.126812,-0.0125162,0.0372968,64.1877,8.76726,11.1535,22.9235,4.11189,8.87693,-0.588935,0.234482,-1.48493,26
