Dataset,min.histogram.9,var.histogram.0,t_mean.histogram.9,sparsity.histogram.9,worst_node.mean.relative,range.min,elite_nn.mean,random_node.histogram.8.relative,eigenvalues.histogram.9,t4,cov.histogram.0,hubs.histogram.4,two_itemset.histogram.6,nodes_per_level.median,iq_range.histogram.9,leaves_homo.median,nodes_per_level.max,one_nn.max,elite_nn.max.relative,nodes_per_level.histogram.4,one_nn.mean,can_cor.max,naive_bayes.histogram.5,tree_depth.histogram.3,cov.histogram.9,one_nn.sd.relative,one_itemset.histogram.9,elite_nn.histogram.8.relative,impconceptvar.histogram.6,linear_discr.histogram.2.relative,mut_inf.histogram.9,Best
Apple_Stock_Price_Trends_(2014-2023)_did46420,0.0555555555555555,0.9444444444444444,0.0555555555555555,0.0555555555555555,5.0,5.742934316850079,0.343399418200215,6.5,0.0555555555555555,0.0555555555555555,0.9215686274509804,0.0592209856915739,0.0092818192365703,29.0,0.0555555555555555,516096.0,79.0,0.365079365079365,2.0,0.0833333333333333,0.3294773287801176,0.2193150526803696,0.0,0.1233964569334147,0.0588235294117647,5.0,0.0042735042735042,3.0,0.1450715421303656,6.5,0.1111111111111111,LogisticRegression
CPMP-2015-runtime-classification_did41919,0.0454545454545454,0.8636363636363636,0.0454545454545454,0.0454545454545454,7.0,0.2,0.2958272859216255,2.5,0.0454545454545454,0.0909090909090909,0.961038961038961,0.0948766603415559,0.0362481315396113,6.5,0.0454545454545454,18432.0,25.0,0.4528301886792453,2.0,0.0,0.3036647314949202,0.6153255221932309,0.0,0.1504178272980501,0.0043290043290043,1.0,0.0076923076923076,5.5,0.0417457305502846,1.5,0.0909090909090909,LogisticRegression
CastMetal1_did1447,0.027027027027027,0.972972972972973,0.027027027027027,0.027027027027027,6.5,0.42,0.7801136363636363,5.5,0.027027027027027,0.027027027027027,0.996996996996997,0.1620795107033639,0.0113017616106154,4.0,0.027027027027027,1312.0,7.0,0.8787878787878788,1.0,0.0,0.8011363636363636,0.4967358469847148,0.0,0.074074074074074,0.0015015015015015,6.0,0.0047169811320754,1.5,0.0244648318042813,3.0,0.027027027027027,SVM
CostaMadre1_did1446,0.027027027027027,0.972972972972973,0.027027027027027,0.027027027027027,6.0,0.42,0.7405747126436781,3.0,0.027027027027027,0.027027027027027,0.996996996996997,0.1587837837837837,0.0109248446035034,3.0,0.027027027027027,273.06666666666666,7.0,0.8620689655172413,3.0,0.0,0.8108045977011494,0.514030509238674,0.2,0.1269841269841269,0.0015015015015015,4.0,0.0047846889952153,6.0,0.0236486486486486,7.0,0.027027027027027,SVM
Creditability-German-Credit-Data_did46416,0.05,0.95,0.05,0.15,4.0,1.0,0.606,2.0,0.05,0.05,0.9947368421052633,0.108,0.0720104268491365,7.0,0.05,11150.222222222224,25.0,0.69,3.5,0.0476190476190476,0.607,0.4872183606825404,0.0,0.2352941176470588,0.0052631578947368,4.0,0.0246913580246913,4.5,0.055,3.5,0.05,LogisticRegression
German-Credit-Data-Creditability-2_did46482,0.05,0.95,0.05,0.15,4.0,1.0,0.606,2.0,0.05,0.05,0.9947368421052633,0.108,0.0720104268491365,7.0,0.05,11036.444444444443,25.0,0.69,3.5,0.0476190476190476,0.607,0.4872183606825404,0.0,0.2325581395348837,0.0052631578947368,4.0,0.0246913580246913,4.5,0.055,3.5,0.05,LogisticRegression
Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44417,0.3333333333333333,0.125,0.5,0.0833333333333333,2.0,1.6236723065376282,0.5569999999999999,1.5,0.0416666666666666,0.6666666666666666,0.717391304347826,0.058,0.0012580515297906,14.0,0.25,31436.8,38.0,0.605,3.0,0.0526315789473684,0.548,0.3434541916237535,0.0,0.1892332789559543,0.0072463768115942,7.0,0.0069444444444444,7.0,0.313,4.0,0.0416666666666666,LogisticRegression
MagicTelescope_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44397,0.7,0.5,0.1,0.1,2.0,0.6216,0.627,5.5,0.1,0.5,0.7555555555555555,0.0545,0.0123456790123456,12.0,0.1,49152.0,27.0,0.73,3.0,0.1052631578947368,0.7049999999999998,0.553750123377256,0.3,0.1707779886148007,0.0222222222222222,2.0,0.025,2.5,0.0675,3.0,0.1,SVM
MeanWhile1_did1449,0.027027027027027,0.972972972972973,0.027027027027027,0.027027027027027,6.5,0.38,0.8258461538461539,3.0,0.027027027027027,0.027027027027027,0.996996996996997,0.2015810276679842,0.0145437362175784,3.0,0.027027027027027,204.8,4.0,0.92,1.0,0.0,0.7944615384615384,0.521175372103299,0.3,0.1702127659574468,0.0015015015015015,7.0,0.0101010101010101,3.0,0.0079051383399209,4.0,0.081081081081081,SVM
MegaWatt1_did1442,0.027027027027027,0.972972972972973,0.027027027027027,0.027027027027027,6.5,0.38,0.8258461538461539,3.0,0.027027027027027,0.027027027027027,0.996996996996997,0.2015810276679842,0.0145437362175784,3.0,0.027027027027027,204.8,4.0,0.92,1.0,0.0,0.7944615384615384,0.521175372103299,0.3,0.1702127659574468,0.0015015015015015,7.0,0.0101010101010101,3.0,0.0079051383399209,4.0,0.081081081081081,SVM
