Dataset,attr_conc.mean,cohesiveness.min,cov.sd,eigenvalues.histogram.2,hubs.sd,impconceptvar.histogram.6,linear_discr.histogram.3.relative,linear_discr.histogram.7,max.max,median.mean,mut_inf.histogram.2,mut_inf.histogram.6,n2.histogram.2,naive_bayes.sd,nodes_per_level.histogram.1,tree_depth.histogram.7,Best
Apple_Stock_Price_Trends_(2014-2023)_did46420,0.1707022135942753,435.375,554491538.669444,0.0,0.2882883425007043,0.1450715421303656,7.0,0.0,1065523200.0,6231176.479702739,0.1111111111111111,0.0555555555555555,0.0560413354531001,0.018250686206245,0.0833333333333333,0.1270616982284667,LogisticRegression
CPMP-2015-runtime-classification_did41919,0.1361546032823849,88.375,5.61195980061749,0.0454545454545454,0.2918145037146253,0.0417457305502846,5.0,0.1,72.0,3.918864681818182,0.0454545454545454,0.2272727272727272,0.0740037950664136,0.1452729979027243,0.2,0.0724233983286908,LogisticRegression
CastMetal1_did1447,0.1061608124987247,11.703125,56366253.20439071,0.0,0.2584018219955393,0.0244648318042813,7.0,0.0,2109679.46,299.532972972973,0.1891891891891892,0.1081081081081081,0.0458715596330275,0.0626163498437372,0.1,0.1234567901234567,SVM
CostaMadre1_did1446,0.2011729553194006,8.828125,42870820.71187563,0.0,0.2569757235601647,0.0236486486486486,4.0,0.3,2109679.46,265.3197297297297,0.1081081081081081,0.054054054054054,0.0506756756756756,0.08635823242704,0.2222222222222222,0.0952380952380952,SVM
Creditability-German-Credit-Data_did46416,0.0161677930517024,127.3125,1547.1071425294213,0.0,0.2414397680064171,0.055,2.5,0.1,18424.0,120.225,0.15,0.0,0.019,0.0945221902224257,0.1904761904761904,0.0613810741687979,LogisticRegression
German-Credit-Data-Creditability-2_did46482,0.014528063881548,127.3125,1547.1071425294213,0.0,0.2414397680064171,0.055,2.5,0.1,18424.0,120.225,0.15,0.0,0.019,0.0945221902224257,0.1904761904761904,0.0620155038759689,LogisticRegression
Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44417,0.0112935667341782,252.75,0.0474968078656933,0.125,0.231063476549512,0.313,6.0,0.0,8.31710720062256,0.4858091653877636,0.0416666666666666,0.0,0.012,0.0246587825237896,0.1578947368421052,0.0815660685154975,LogisticRegression
MagicTelescope_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44397,0.0667108898718811,487.5,348.9066983131416,0.1,0.302388019730958,0.0675,5.5,0.0,464.631,29.67367,0.2,0.0,0.012,0.0303498123735734,0.1578947368421052,0.1062618595825427,SVM
MeanWhile1_did1449,0.1633036558242664,14.96875,890666.6996677511,0.0,0.2529700655991689,0.0079051383399209,3.0,0.3,176348.54,124.78054054054054,0.054054054054054,0.1891891891891892,0.1739130434782608,0.0758669377393478,0.0,0.1702127659574468,SVM
MegaWatt1_did1442,0.1222345444960055,14.96875,890666.6996677511,0.0,0.2529700655991689,0.0079051383399209,3.0,0.3,176348.54,124.78054054054054,0.054054054054054,0.1891891891891892,0.1739130434782608,0.0758669377393478,0.0,0.1702127659574468,SVM
PieChart1_did1451,0.1232198471994183,22.703125,97966816.45392258,0.0,0.2323235970538801,0.0212765957446808,3.5,0.0,4279633.01,217.36162162162165,0.081081081081081,0.027027027027027,0.2127659574468085,0.0453022774270717,0.0,0.1052631578947368,SVM
PizzaCutter1_did1443,0.1543974997545443,16.453125,40911166.35412504,0.0,0.22750806531516,0.0181543116490166,3.0,0.0,2730637.23,203.97945945945943,0.1621621621621621,0.081081081081081,0.2208774583963691,0.0553652642271863,0.0,0.1720430107526881,LogisticRegression
Pumpkin_Seeds_did46951,0.1323073044344699,626.875,23138194.20420331,0.0,0.2996430564452457,0.1312,2.0,0.1,138384.0,13422.436145833331,0.1666666666666666,0.0,0.2044,0.0278056748804188,0.1428571428571428,0.0952380952380952,LogisticRegression
SPECTF_did337,0.046889938945468,28.625,24.94637060529274,0.0,0.2712620508599779,0.0,7.0,0.2,89.0,66.9090909090909,0.1136363636363636,0.0909090909090909,0.0,0.0816218333106933,0.0,0.2033898305084746,DecisionTree
Titanic_did40704,0.0548088673547239,587.0,0.16956122393135,0.0,0.2858679112402627,0.0090867787369377,3.0,0.0,4.38,0.1048,0.0,0.0,,0.0152848523523055,0.0,0.0,DecisionTree
air-quality-and-pollution-assessment_did46762,0.029459780562685,1256.25,357.6267973438321,0.0,0.2633177135099363,0.237,6.5,0.0,957.0,74.34555555555556,0.2222222222222222,0.0,0.183,0.0048488257455915,0.1538461538461538,0.0508806262230919,DecisionTree
algerian_forest_fires_did46279,0.1475113546775564,54.375,107.26476006468388,0.0,0.2973555903465674,0.1646090534979424,3.5,0.1,2012.0,176.44615384615386,0.0769230769230769,0.0,0.2304526748971193,0.0527760233626531,0.0,0.0,DecisionTree
analcatdata_supreme_did728,0.0088812754316173,747.375,0.2275848055769149,0.0,0.3322097415446272,0.0027147087857847,4.0,0.0,1988.0,282.0,0.0,0.0,,0.1049992828870251,0.1818181818181818,0.1443298969072164,KNN
autoUniv-au1-1000_did1547,0.0064649780277333,78.15625,0.0129621962311603,0.0,0.3109352318714236,0.019,4.0,0.0,1.0,0.55,0.1,0.0,0.026,0.0365300485141266,0.0714285714285714,0.257602862254025,SVM
balance-scale_did11,-6.250002346150688e-08,197.0,0.0,0.0,0.2832918866969477,0.0384,2.5,0.2,5.0,3.0,0.0,0.0,0.176,0.0956940404939479,0.1,0.1931464174454828,MLP
balloon_did914,,1000.0,,,0.2833115676428359,0.0,2.5,0.4,2.36,2.14,0.0,0.0,,0.1354933551721615,0.0,0.1632653061224489,SVM
banana_did1460,0.0168620503956372,2642.25,,0.0,0.3015249400316088,0.0,7.0,0.1,3.19,-0.026225,0.0,0.0,0.1067924528301886,0.021037712346397,0.0571428571428571,0.0132340777502067,SVM
bank-marketing_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44402,0.0348547253022706,506.25,17533.663882088716,0.0,0.2702270871674401,0.0005,1.5,0.0,81204.0,127.42857142857144,0.0,0.0,0.077,0.0280079353834666,0.0952380952380952,0.0864040660736975,LogisticRegression
banknote-authentication_did1462,0.0707336754992159,469.75,6.690612368015218,0.0,0.3446668442846846,0.010204081632653,7.0,0.0,17.9274,0.7114524999999999,0.0,0.0,0.2106413994169096,0.0402118075942138,0.0,0.2264150943396226,KNN
blood-transfusion-service-center_did1464,0.2220620104593289,193.0,8964.729360935104,0.0,0.319762149395079,0.0013368983957219,2.5,0.1,12500.0,259.75,0.0,0.0,,0.0366965295897661,0.1052631578947368,0.0661577608142493,LogisticRegression
bodyfat_did778,0.0939909953691708,42.8125,45.48111962652145,0.0,0.2982398773083012,0.0674603174603174,5.0,0.0,363.15,58.4146357142857,0.2857142857142857,0.0,0.0793650793650793,0.1129085903281421,0.0,0.0,DecisionTree
breast-w_did15,0.2060539653243744,111.375,1.8696199793142063,0.0,0.2947603756312318,0.0014306151645207,2.5,0.4,10.0,1.6666666666666667,0.0,0.1111111111111111,0.0772532188841201,0.0289062062205338,0.0,0.1066666666666666,KNN
california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44362,0.0225308152219188,499.75,940.9228428430893,0.0,0.2882635002285647,0.007,2.5,0.1,16305.0,142.13076500592325,0.0,0.0,0.1245,0.0869546497383038,0.0,0.1143984220907297,LogisticRegression
chatfield_4_did820,0.2303102355283402,40.8125,450.9430582632252,0.0833333333333333,0.3109264095043762,0.025531914893617,2.0,0.1,1983.0,194.04999999999995,0.0,0.1666666666666666,0.0638297872340425,0.0546142156285118,0.0,0.0975609756097561,LogisticRegression
chscase_vine2_did814,-8.788319267711819e-08,203.0,,0.0,0.3082661719728488,0.0106837606837606,2.0,0.0,1991.0,1006.75,0.0,0.0,0.0662393162393162,0.2136604559695462,0.0,0.1077844311377245,DecisionTree
climate-model-simulation-crashes_did1467,0.0132369575325059,88.375,34.68215701240989,0.0,0.1633715881611956,0.0037037037037037,7.0,0.0,540.0,18.5749486,0.0,0.0,0.1962962962962963,0.040945985066116,0.0,0.144927536231884,SVM
covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44377,0.0320716070667006,522.375,0.197012310765024,0.1,0.2379353448634107,0.097,3.0,0.2,13.475729942321776,4.098212884366513,0.0,0.0,0.041,0.0215058131676065,0.0869565217391304,0.059612518628912,MLP
credit_did44345,0.0249287652179532,499.125,39753.92487358719,0.0,0.2576677075264011,0.0,6.5,0.0,131350.0,505.77545616235,0.0,0.2,0.0675,0.0097752521990767,0.1,0.1423220973782771,LogisticRegression
dataset_credit-g_did46532,0.0554308602716069,131.6875,1546.5427987878495,0.0,0.2384131791206264,0.067,5.5,0.0,18424.0,119.975,0.15,0.0,0.018,0.0421637021355783,0.0588235294117647,0.12531328320802,LogisticRegression
delta_ailerons_did803,0.0139864261041361,3043.25,1.7458365540987955e-06,0.0,0.2844543754576718,0.0,4.0,0.3,0.051,0.003416,0.2,0.0,0.3077570486744284,0.011154255964376,0.1,0.1292705447830101,SVM
depression_2020_did46876,0.0748418122393269,198.5625,11123115109448.314,0.0,0.2550407134511299,0.0622813156053184,3.5,0.0,99926758.0,12408309.65,0.3,0.0,,0.0210486751151115,0.0277777777777777,0.0747028862478777,LogisticRegression
diabetes_did37,0.0288404387964756,203.75,266.09287378284085,0.0,0.263870438434916,0.0013020833333333,5.0,0.3,846.0,38.3590625,0.125,0.0,0.05859375,0.0348241186513667,0.1538461538461538,0.0790513833992094,LogisticRegression
disclosure_x_bias_did774,0.0119709249262071,323.25,0.1510013058106099,0.0,0.31738292337181,0.0015105740181268,4.0,0.3,93.99088,23.07308,0.0,0.0,0.0679758308157099,0.0796693080767345,0.0588235294117647,0.2273781902552204,LogisticRegression
dummy_did45604,0.0077307538243723,295.0,19.810731077096804,0.1666666666666666,0.2211003747601153,0.1,2.5,0.0,99.9856869553264,45.39280653349152,0.0,0.3333333333333333,0.155,0.0141813649241217,0.2,0.196078431372549,LogisticRegression
ecoli_did1011,0.0467626137950528,83.75,0.0084459776107159,0.0,0.2944180965065816,0.3184523809523809,3.5,0.0,1.0,0.4757142857142857,0.1428571428571428,0.0,0.2648809523809524,0.1615505048207688,0.0,0.1224489795918367,SVM
electricity_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44372,0.1142155222806581,499.75,0.006132136721794,0.1428571428571428,0.2592606645033969,0.102,7.0,0.2,1.0,0.3296167857142857,0.1428571428571428,0.0,0.113,0.0242899156029822,0.1176470588235294,0.1983739837398374,DecisionTree
eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44423,0.0484018319667597,255.75,45600.98761898957,0.05,0.2527173361751626,0.151,7.0,0.0,22514.0,353.04171500000007,0.05,0.0,0.011,0.0279334526648206,0.0869565217391304,0.096177558569667,LogisticRegression
football-player-position_did46764,0.0370338319103777,904.5,134.39930263172306,0.0,0.2580089970604013,0.281362503461645,3.5,0.1,648.0,37.59313541804109,0.0909090909090909,0.0909090909090909,0.1154804763223483,0.0247556603519655,0.0952380952380952,0.1073170731707317,LogisticRegression
fri_c3_1000_25_did715,0.0093533867195168,131.625,0.1076112131664874,0.44,0.1790851669013568,0.131,6.0,0.1,4.533196,-0.0113785599999999,0.0,0.0,0.013,0.0514781507049349,0.0,0.1655172413793103,DecisionTree
glass_did1005,0.0864606998367464,53.125,0.1787818686941152,0.2222222222222222,0.2735232345123861,0.0046728971962616,1.5,0.1,75.41,11.289186666666668,0.0,0.0,0.0607476635514018,0.1139525823116529,0.0,0.123076923076923,KNN
heart-statlog_did53,0.0325651705506557,41.625,23.6380829289952,0.0769230769230769,0.3089604438650382,0.0925925925925925,6.0,0.0,564.0,45.79230769230769,0.0,0.1538461538461538,0.1259259259259259,0.0429445114343854,0.1111111111111111,0.1318681318681318,LogisticRegression
hepatitis_c_virus_hcv_for_egyptian_patients_did46850,0.005505718741764,135.6875,2835039724.073644,0.0357142857142857,0.2508547132247296,0.2649819494584837,3.5,0.2,5018451.0,233048.64285714287,0.0,0.2857142857142857,0.0324909747292418,0.0279294615640123,0.1,0.0648648648648648,LogisticRegression
house_16H_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44387,0.0406824469193054,449.375,105.9606716904894,0.0,0.2597365640006029,0.025,1.5,0.1,515342.0,123.17225009375,0.125,0.0625,0.126,0.0238572141430357,0.125,0.0658823529411764,DecisionTree
ilpd-numeric_did41945,0.0460566331341103,146.25,6452.164500396593,0.0,0.2855004373769678,0.0,2.5,0.0,4929.0,34.29470640000001,0.1,0.1,0.0445969125214408,0.1006629481213907,0.05,0.1012658227848101,LogisticRegression
ionosphere_did59,0.1194968826157032,22.84375,0.0605930295794694,0.0588235294117647,0.3132870545105423,0.0313390313390313,2.0,0.0,1.0,0.3210052941176471,0.2647058823529412,0.0294117647058823,0.150997150997151,0.0568688314981832,0.0,0.1777777777777777,SVM
jEdit_4.2_4.3_did1048,0.0950967203253131,79.875,4788.60837012388,0.125,0.2827248819042732,0.3495934959349593,2.0,0.1,5317.0,25.5,0.0,0.0,0.089430894308943,0.1008143934182945,0.0,0.1073170731707317,KNN
jungle_chess_2pcs_raw_endgame_complete_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44718,0.0096365821772324,507.5,0.0468469348878436,0.0,0.2514604247375993,0.032,4.5,0.2,8.0,4.166666666666667,0.3333333333333333,0.0,0.159,0.0212720473861826,0.1764705882352941,0.1444114737883284,MLP
kc2_did1063,0.3325731341112844,18.71875,60240853.1462939,0.0,0.3057636277474266,0.0,3.0,0.2,2147483.64,42.053571428571416,0.0,0.0,,0.0811823882562692,0.2,0.0437956204379562,SVM
kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44392,0.1857852259043928,218.75,27978142758.489037,0.0,0.339521246348511,0.138,1.5,0.0,999999.0,3666.45,0.15,0.15,0.0905,0.0229068160647048,0.1304347826086956,0.0722347629796839,LogisticRegression
machine_cpu_did733,0.1599038151735582,54.0,8870300.432334494,0.0,0.2823459041821093,0.0,3.5,0.0,64000.0,1688.0,0.0,0.0,0.1483253588516746,0.0737711113563317,0.0,0.1290322580645161,LogisticRegression
maternal_health_risk_did46600,0.0947777303310597,273.75,55.228723204240055,0.1666666666666666,0.2796633901059086,0.150887573964497,5.5,0.2,160.0,67.91666666666667,0.1666666666666666,0.0,,0.0436923954886626,0.1764705882352941,0.1795665634674922,DecisionTree
mental_health_detection_did46879,0.7447743244500149,81.0,0.9996067997266308,0.0714285714285714,0.2179541496400719,0.0277777777777777,3.0,0.1,6.0,2.0,0.0714285714285714,0.0714285714285714,,0.097912987945177,0.0,0.0655737704918032,DecisionTree
mfeat-morphological_did962,0.249822789015892,610.75,23504.324454526173,0.0,0.3490227812586355,0.0,4.0,0.0,17572.199943,901.6869906666666,0.3333333333333333,0.1666666666666666,0.015,0.0024152294576982,0.0,0.1481481481481481,LogisticRegression
mu284_did880,0.2210502120481389,36.0625,2857850.0444481103,0.0,0.3241516391415166,0.056338028169014,3.5,0.0,59877.0,302.95,0.1,0.0,0.25,0.1959414692301116,0.0,0.0,DecisionTree
mw1_did1071,0.2308259391317479,27.4375,842383.978349449,0.0,0.223887395835678,0.0049627791563275,5.5,0.0,194481.83,67.43621621621622,0.1081081081081081,0.1621621621621621,,0.0499811584567044,0.0,0.0952380952380952,SVM
no2_did886,0.0435451534937426,163.0,40.513758966712345,0.0,0.2390509182773486,0.126,5.5,0.1,359.0,17.810482857142855,0.1428571428571428,0.0,0.11,0.050596442562694,0.0,0.0686695278969957,MLP
numerai28.6_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44493,0.0234136928323914,282.5,0.0169708828527938,0.0952380952380952,0.2484022419741944,0.1885,2.5,0.0,1.0,0.5030656827987163,0.1904761904761904,0.0952380952380952,0.012,0.0267758182777752,0.1153846153846153,0.053639846743295,LogisticRegression
oil_spill_did311,0.039697961354871,55.0,999262437.8092957,0.0,0.3094351471644982,0.0010672358591248,6.0,0.1,71315000.0,4061.272653061225,0.1836734693877551,0.0,0.3553895410885805,0.0770360329405467,0.3,0.0579710144927536,LogisticRegression
pc4_did1049,0.1425919905705859,93.1875,8762157.949538192,0.0,0.2467099499755207,0.0109739368998628,2.5,0.2,1401719.45,83.70851351351352,0.2702702702702703,0.027027027027027,,0.0289768163825829,0.0526315789473684,0.1036269430051813,LogisticRegression
phoneme_did1489,0.0578461747799535,2558.25,0.1083201970009726,0.0,0.3072939469582922,0.0,2.5,0.1,4.586666,-0.197776,0.0,0.0,0.1854182087342709,0.0130898355119746,0.0769230769230769,0.0226628895184136,KNN
pm10_did750,0.0392193807050729,149.75,37.96553691068804,0.0,0.2412735939135025,0.136,2.5,0.1,358.0,18.53851285714285,0.0,0.1428571428571428,0.058,0.0500666222813829,0.0555555555555555,0.1098039215686274,DecisionTree
pol_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44382,0.0332031410791231,498.25,36.09787579738717,0.0769230769230769,0.2675260127775668,0.0215,2.5,0.0,200.0,15.461538461538462,0.0,0.0,0.165,0.031446603773522,0.0833333333333333,0.1732283464566929,MLP
