Dataset,Best,min.histogram.9,h_mean.histogram.9,var.histogram.0,class_conc.histogram.0,best_node.max,mad.histogram.0,elite_nn.median.relative,t_mean.histogram.9,worst_node.mean.relative,tree_depth.histogram.5,range.histogram.0,best_node.histogram.6,g_mean.histogram.9,random_node.histogram.8.relative,one_nn.max.relative,cov.histogram.0,cov.min,naive_bayes.histogram.5
Apple_Stock_Price_Trends_(2014-2023)_did46420,LogisticRegression,0.0555555555555555,0.0909090909090909,0.9444444444444444,0.0555555555555555,0.3968253968253968,0.9444444444444444,3.0,0.0555555555555555,5.0,0.2541233964569334,0.9444444444444444,0.0,0.0871212121212121,6.5,1.0,0.9215686274509804,0.0384755164478344,0.0
CPMP-2015-runtime-classification_did41919,LogisticRegression,0.0454545454545454,0.0454545454545454,0.8636363636363636,0.3181818181818182,0.6981132075471698,0.6818181818181818,2.0,0.0454545454545454,7.0,0.2172701949860724,0.6818181818181818,0.0,0.0454545454545454,2.5,1.0,0.961038961038961,4.4293301976933605e-07,0.0
CastMetal1_did1447,SVM,0.027027027027027,0.027027027027027,0.972972972972973,0.054054054054054,0.8787878787878788,0.972972972972973,1.0,0.027027027027027,6.5,0.0987654320987654,0.972972972972973,0.0,0.027027027027027,5.5,3.5,0.996996996996997,4.362019474306167e-05,0.0
CostaMadre1_did1446,SVM,0.027027027027027,0.027027027027027,0.972972972972973,0.054054054054054,0.9,0.972972972972973,1.0,0.027027027027027,6.0,0.2222222222222222,0.972972972972973,0.0,0.027027027027027,3.0,1.0,0.996996996996997,0.0003877645442052,0.2
Creditability-German-Credit-Data_did46416,LogisticRegression,0.05,0.05,0.95,0.5,0.7,0.95,1.0,0.05,4.0,0.1074168797953964,0.95,0.0,0.05,2.0,1.0,0.9947368421052633,0.0003043043043042,0.0
German-Credit-Data-Creditability-2_did46482,LogisticRegression,0.05,0.05,0.95,0.5,0.7,0.95,1.0,0.05,4.0,0.1085271317829457,0.95,0.0,0.05,2.0,1.0,0.9947368421052633,0.0003043043043042,0.0
Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44417,LogisticRegression,0.3333333333333333,0.0909090909090909,0.125,0.75,0.63,0.0416666666666666,4.0,0.5,2.0,0.2088091353996737,0.0416666666666666,0.4,0.0871212121212121,1.5,4.0,0.717391304347826,6.864696080898693e-05,0.0
MagicTelescope_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44397,SVM,0.7,0.0909090909090909,0.5,0.4,0.78,0.3,3.0,0.1,2.0,0.1859582542694497,0.3,0.0,0.0871212121212121,5.5,5.0,0.7555555555555555,0.0205631158138019,0.3
MeanWhile1_did1449,SVM,0.027027027027027,0.027027027027027,0.972972972972973,0.1351351351351351,0.9230769230769232,0.972972972972973,3.0,0.027027027027027,6.5,0.1702127659574468,0.972972972972973,0.3,0.027027027027027,3.0,4.0,0.996996996996997,2.7766798418973847e-05,0.3
MegaWatt1_did1442,SVM,0.027027027027027,0.027027027027027,0.972972972972973,0.1351351351351351,0.9230769230769232,0.972972972972973,3.0,0.027027027027027,6.5,0.1702127659574468,0.972972972972973,0.3,0.027027027027027,3.0,4.0,0.996996996996997,2.7766798418973847e-05,0.3
PieChart1_did1451,SVM,0.027027027027027,0.027027027027027,0.972972972972973,0.1351351351351351,0.9154929577464788,0.972972972972973,2.0,0.027027027027027,7.0,0.2105263157894736,0.972972972972973,0.3,0.027027027027027,2.5,2.0,0.996996996996997,0.0001490973565444,0.4
PizzaCutter1_did1443,LogisticRegression,0.027027027027027,0.027027027027027,0.972972972972973,0.1891891891891892,0.9545454545454546,0.972972972972973,1.0,0.027027027027027,7.0,0.1720430107526881,0.972972972972973,0.0,0.027027027027027,3.0,1.0,0.996996996996997,0.0005826030348874,0.2
Pumpkin_Seeds_did46951,LogisticRegression,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.3333333333333333,0.904,0.8333333333333334,5.0,0.1666666666666666,1.0,0.1714285714285714,0.8333333333333334,0.3,0.1666666666666666,4.0,3.0,0.9848484848484848,3.7017843457382952e-06,0.0
SPECTF_did337,DecisionTree,0.0681818181818181,0.0681818181818181,0.1363636363636363,0.0909090909090909,0.8,0.1363636363636363,1.0,0.0681818181818181,3.5,0.135593220338983,0.0454545454545454,0.3,0.0454545454545454,3.5,7.0,0.4619450317124736,0.0384349372591597,0.0
Titanic_did40704,DecisionTree,0.3333333333333333,0.0909090909090909,0.3333333333333333,0.6666666666666666,0.8054298642533937,0.6666666666666666,5.0,0.3333333333333333,2.5,0.0,0.3333333333333333,0.1,0.0871212121212121,3.5,7.0,0.3333333333333333,0.0661847405427284,0.1
