,n_features,alg_selected_meta_features,decision_tree,random_forest,naive_bayes,svm,knn,best,method
0,1154,all meta features,0.425531914893617,0.5319148936170213,0.425531914893617,0.5425531914893617,0.39361702127659576,svm,all meta features
1,202,decision_tree,0.6276595744680851,0.46808510638297873,0.35106382978723405,0.44680851063829785,0.43617021276595747,decision_tree,Best Subset Selection by Filter MILP
2,202,random_forest,0.43617021276595747,0.5106382978723404,0.425531914893617,0.5425531914893617,0.40425531914893614,svm,Best Subset Selection by Filter MILP
3,146,naive_bayes,0.3829787234042553,0.3829787234042553,0.23404255319148937,0.3829787234042553,0.3617021276595745,svm,Best Subset Selection by Filter MILP
4,202,svm,0.2765957446808511,0.425531914893617,0.3404255319148936,0.4574468085106383,0.3829787234042553,svm,Best Subset Selection by Filter MILP
5,202,knn,0.2127659574468085,0.46808510638297873,0.4148936170212766,0.48936170212765956,0.35106382978723405,svm,Best Subset Selection by Filter MILP
6,25,decision_tree,0.6808510638297872,0.5106382978723404,0.1702127659574468,0.43617021276595747,0.3404255319148936,decision_tree,Knapsack Problem ILP
7,149,random_forest,0.40425531914893614,0.5319148936170213,0.3829787234042553,0.5425531914893617,0.43617021276595747,svm,Knapsack Problem ILP
8,202,naive_bayes,0.3617021276595745,0.5212765957446809,0.4148936170212766,0.574468085106383,0.5638297872340425,svm,Knapsack Problem ILP
9,52,svm,0.2872340425531915,0.425531914893617,0.2872340425531915,0.3723404255319149,0.3617021276595745,random_forest,Knapsack Problem ILP
10,202,knn,0.2127659574468085,0.46808510638297873,0.4148936170212766,0.48936170212765956,0.35106382978723405,svm,Knapsack Problem ILP
11,18,decision_tree,0.6702127659574468,0.5638297872340425,0.14893617021276595,0.425531914893617,0.32978723404255317,decision_tree,Correlation Penalized milp
12,113,random_forest,0.43617021276595747,0.5,0.39361702127659576,0.46808510638297873,0.4148936170212766,random_forest,Correlation Penalized milp
13,0,naive_bayes,0.0,0.0,0.0,0.0,0.0,None,Correlation Penalized milp
14,22,svm,0.2978723404255319,0.3723404255319149,0.2127659574468085,0.35106382978723405,0.23404255319148937,random_forest,Correlation Penalized milp
15,73,knn,0.39361702127659576,0.4574468085106383,0.30851063829787234,0.3723404255319149,0.35106382978723405,random_forest,Correlation Penalized milp
